"obs_id","study_id","model","prescience_score","confidence","rationale","scored_at","scorer_version","source_pass","elapsed_sec","parse_ok"
"ra-web-site-search-3910-sli-16eb05-OBS-053","ra-web-site-search-3910-sli-16eb05","sonar-reasoning-pro","-1","1","Pre-filter: picture-text dump, image content preserved separately.","2026-06-14T19:22:38Z","v6","pass_c_prefilter_v1","0.0","true"
"ra-web-site-search-3910-sli-16eb05-OBS-025","ra-web-site-search-3910-sli-16eb05","sonar-reasoning-pro","-1","1","Pre-filter: figure caption only.","2026-06-14T19:22:38Z","v6","pass_c_prefilter_v1","0.0","true"
"ra-web-site-search-3910-sli-16eb05-OBS-045","ra-web-site-search-3910-sli-16eb05","sonar-reasoning-pro","-1","1","Pre-filter: picture-text dump, image content preserved separately.","2026-06-14T19:22:38Z","v6","pass_c_prefilter_v1","0.0","true"
"ra-web-site-search-3910-sli-16eb05-OBS-047","ra-web-site-search-3910-sli-16eb05","sonar-reasoning-pro","-1","1","Pre-filter: picture-text dump, image content preserved separately.","2026-06-14T19:22:38Z","v6","pass_c_prefilter_v1","0.0","true"
"2003-intel-consumer-lt-10-5-8c346e-OBS-020","2003-intel-consumer-lt-10-5-8c346e","sonar-reasoning-pro","0","1","The claim content is not provided (only the placeholder 'political-special-case'), so there is no substantive assertion to compare against subsequent developments in technologies such as Intel LaGrande/Intel TXT, TPM-based trusted computing, or consumer security and privacy trends. Without knowing what was actually asserted, it is impossible to determine whether later events from 2003–2026 confirmed or contradicted the observation, so it cannot be meaningfully scored for prescience.","2026-06-14T19:22:44Z","v6","pass_c_sonar_v1","6.18","true"
"aberdeen-1996-ibm-transformation-business-machines-information-service-OBS-011","aberdeen-1996-ibm-transformation-business-machines-information-service","sonar-reasoning-pro","2","3","The assertion that IBM had the “most complete IT product line” did not hold as a durable advantage: from 2002–2014 IBM exited major hardware segments including hard drives, PCs (sold to Lenovo in 2005), and x86 servers (sold to Lenovo in 2014), while refocusing on software, services, and later cloud and AI, leaving broader end‑to‑end portfolios to vendors like HP and Dell.[7] At the same time, the idea of tightly coupling technical staff with Global Services proved directionally sound, as IBM Global Services became more than half of IBM’s revenue by the late 1990s and 2000s and IBM increasingly used its research and technical talent in client-facing consulting and outsourcing engagements.[1][3][5] Because the services-integration aspect aged reasonably well but the “most complete product line” framing clearly did not, the overall claim is mostly wrong as a long-term strategic characterization.","2026-06-14T19:22:53Z","v6","pass_c_sonar_v1","8.48","true"
"tpcbench92-139998-OBS-012","tpcbench92-139998","sonar-reasoning-pro","0","3","The statement quantifies a specific, point-in-time TPC benchmark result (attribution of an 18% per-processor gain to new hardware models and a 59% gain to a maturing AIX release) rather than projecting a future trend or generalizable pattern. Although AIX and IBM POWER systems did continue to improve substantially in TPC benchmarks through the 1990s and 2000s, those later gains were driven by successive hardware generations, OS releases, and database optimizations that go well beyond the narrow context of this 1992 measurement. Because the claim is essentially a retrospective performance breakdown for one configuration, it cannot meaningfully be judged for long-term prescience.","2026-06-14T19:24:19Z","v6","pass_c_sonar_v1","5.77","true"
"decision-maker-erp-services-805ce8-OBS-002","decision-maker-erp-services-805ce8","sonar-reasoning-pro","5","3","By 1998 SAP R/3 was already the leading enterprise ERP platform globally, and large SAP implementations almost universally relied on systems integrators and SAP’s own consulting arm for configuration, data migration, and process redesign. Through subsequent generations (SAP ECC in the 2000s and S/4HANA from 2015 onward), SAP remained a primary Tier-1 ERP vendor, with implementations at enterprises like Siemens, Coca-Cola, and Unilever continuing to demand extensive professional services from firms such as Accenture, Deloitte, and IBM. Even as cloud and SaaS ERP grew after 2010, SAP projects in particular stayed synonymous with large, services-heavy programs, confirming the observation over time.","2026-06-14T19:24:25Z","v6","pass_c_sonar_v1","5.86","true"
"2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869-OBS-003","2003-oracle-v-peoplesoft-don-t-wait-until-the-bout-is-o-4da869","sonar-reasoning-pro","0","3","The claim merely states that outcomes are uncertain and that both parties are showing damage, which largely describes the immediate 2003–2004 conflict period rather than offering a directional prediction about long-term viability. Oracle ultimately acquired PeopleSoft in late 2004 for about $10.3 billion and went on to strengthen its applications and database franchises, while PeopleSoft ceased to exist as an independent company, making it impossible to judge any longer-term prescience from such a noncommittal statement.[3][5][8][9]","2026-06-14T19:24:36Z","v6","pass_c_sonar_v1","10.37","true"
"maxtor-survey.v.2-d5b538-OBS-004","maxtor-survey.v.2-d5b538","sonar-reasoning-pro","0","3","The claim describes a static aspect of the 2003 questionnaire’s internal structure and coding rules (that two questions share structure and are excluded from a mainframe category), not a prediction or characterization of future technology adoption or market evolution. Because it does not assert anything about how disk, server, or mainframe usage would change after 2003, there is no way to compare it against developments through 2010–2026, making it unsuitable for prescience scoring. Any impact is purely methodological for that one study’s dataset, not a forward-looking market assumption that can be validated or refuted by later industry history.","2026-06-14T19:24:41Z","v6","pass_c_sonar_v1","5.05","true"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-020","inovant-ramp-interview-for-maxtor-projec-e7f75d","sonar-reasoning-pro","0","2","The fragmentary claim ""less than once per year"" does not specify what event, metric, or behavior is being measured (e.g., outages, migrations, upgrades, failures), so it cannot be reliably mapped to later industry outcomes. From 2003–2026, operational frequencies for major storage-related events (such as data migrations, planned downtime, or hardware refreshes) varied widely across enterprises and architectures, making it impossible to test this unspecific rate against historical patterns. Because the subject of the metric is unknown, its prescience cannot be meaningfully assessed.","2026-06-14T19:24:47Z","v6","pass_c_sonar_v1","5.26","true"
