"code_id","code_type","label","definition"
"USER-INTERVIEWS","methodology","User Interviews","Interviews with IS buyers and users conducted by Aberdeen analysts"
"PRODUCT-EVAL","methodology","Product Eval","Direct evaluation of vendor product capabilities"
"ANALYST-ASSESSMENT","methodology","Analyst Assessment","Aberdeen analyst expert assessment and opinion"
"WEB-RESEARCH","methodology","Web Research","Post-publication web research to verify outcomes"
"DOCUMENT","methodology","Document","Factual data extracted directly from the study document"
"strategy-classification","observation_type","Strategy Classification","Classification of entity competitive or business strategy"
"viability-prediction","observation_type","Viability Prediction","Forward-looking prediction about market or technology viability"
"actual-outcome","observation_type","Actual Outcome","Verified post-publication actual outcome of a prediction or trend"
"technology-assessment","observation_type","Technology Assessment","Assessment of a technology capability, state, or characteristic"
"expert-opinion","observation_type","Expert Opinion","Expert analyst opinion not constituting a formal prediction"
"market-data","observation_type","Market Data","Factual market data, sizing, or share information"
"BENCHMARK","methodology","Benchmark","Performance benchmark result from standard industry test (e.g., TPC)"
"benchmark-result","observation_type","Benchmark Result","Quantitative performance measurement from a formal or informal benchmark"
"framework-factor","observation_type","Framework Factor","A criterion or dimension in an analyst's evaluative framework"
