"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of an entity's business strategy or IS buyer decision framework"
"viability-prediction","observation_type","Viability Prediction","Expert prediction about market growth or technology adoption"
"actual-outcome","observation_type","Actual Outcome","Verified historical outcome for an entity (e.g. acquisition or bankruptcy)"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's maturity or fitness for enterprise deployment"
"benchmark-result","observation_type","Benchmark Result","Quantitative comparison against peers or standards"
"framework-factor","observation_type","Framework Factor","One component of a multi-factor analytical framework (service categories or provider types)"
"market-data","observation_type","Market Data","Quantitative market statistic or pricing datum"
"expert-opinion","observation_type","Expert Opinion","Qualitative professional judgment from Aberdeen analyst or surveyed IS executive"
"industry-analysis","methodology","Industry Analysis","Systematic analysis of industry structure and dynamics"
"competitive-profiling","methodology","Competitive Profiling","Detailed comparison of competing vendor service offerings"
"benchmarking","methodology","Benchmarking","Comparison against industry standards or peers"
"field-research","methodology","Field Research","Primary data collection via IS buyer interviews and surveys"
"document-review","methodology","Document Review","Analysis of existing documents and records"
"statistical-analysis","methodology","Statistical Analysis","Quantitative data analysis including market size projections"
"high","confidence","High Confidence","Strong evidentiary basis; multiple corroborating sources"
"medium","confidence","Medium Confidence","Reasonable basis but limited corroboration"
"low","confidence","Low Confidence","Directional judgment with limited evidence"
"verified","confidence","Verified","Confirmed by subsequent events or independent sources"
