code_id,code_type,label,definition
strategy-classification,observation_type,Strategy Classification,Categorization of an entity's business strategy
viability-prediction,observation_type,Viability Prediction,Expert prediction of entity's long-term survival
actual-outcome,observation_type,Actual Outcome,Verified historical outcome for an entity
technology-assessment,observation_type,Technology Assessment,Evaluation of a technology's maturity or fitness
benchmark-result,observation_type,Benchmark Result,Quantitative comparison against peers or standards
framework-factor,observation_type,Framework Factor,One component of a multi-factor analytical framework
market-data,observation_type,Market Data,Quantitative market statistic
expert-opinion,observation_type,Expert Opinion,Qualitative professional judgment
personal-recollection,observation_type,Personal Recollection,First-person memory or anecdote from Kastner
ai-exchange,observation_type,AI Exchange,A question posed by Kastner and the AI response extracted as a structured observation
topic-insight,observation_type,Topic Insight,An analytical claim or framework point within a technology topic deep-dive
industry-analysis,methodology,Industry Analysis,Systematic analysis of industry structure and dynamics
competitive-profiling,methodology,Competitive Profiling,Detailed comparison of competing entities
benchmarking,methodology,Benchmarking,Comparison against industry standards or peers
field-research,methodology,Field Research,Primary data collection via interviews or surveys
document-review,methodology,Document Review,Analysis of existing documents and records
statistical-analysis,methodology,Statistical Analysis,Quantitative data analysis with statistical methods
oral-history,methodology,Oral History,First-person spoken or written recollection of events
ai-dialog,methodology,AI Dialog,Question-and-answer exchange between a human and an AI system
high,confidence,High Confidence,Strong evidentiary basis; multiple corroborating sources
medium,confidence,Medium Confidence,Reasonable basis but limited corroboration
low,confidence,Low Confidence,Directional judgment with limited evidence
verified,confidence,Verified,Confirmed by subsequent events or independent sources
market-position,observation_type,Market Position,Study-specific code: market-position
vendor-claim,methodology,Vendor Claim,Study-specific code: vendor-claim
market-size-estimate,observation_type,Market Size Estimate,Study-specific code: market-size-estimate
corporate-history,observation_type,Corporate History,Study-specific code: corporate-history
document-fact,methodology,Document Fact,Study-specific code: document-fact
corporate-event,observation_type,Corporate Event,Study-specific code: corporate-event
vendor-profiling,methodology,Vendor Profiling,Study-specific code: vendor-profiling
industry-outcome,methodology,Industry Outcome,Study-specific code: industry-outcome
market-classification,observation_type,Market Classification,Study-specific code: market-classification
cost-benchmark,observation_type,Cost Benchmark,Study-specific code: cost-benchmark
product-analysis,methodology,Product Analysis,Study-specific code: product-analysis
validation-claim,observation_type,Validation Claim,Study-specific code: validation-claim
adoption-trend,observation_type,Adoption Trend,Study-specific code: adoption-trend
market-segment,observation_type,Market Segment,Study-specific code: market-segment
product-profile,observation_type,Product Profile,Study-specific code: product-profile
corporate-profile,observation_type,Corporate Profile,Study-specific code: corporate-profile
cross-reference,observation_type,Cross Reference,Study-specific code: cross-reference
partnership-observation,observation_type,Partnership Observation,Study-specific code: partnership-observation
strategic-insight,observation_type,Strategic Insight,Study-specific code: strategic-insight
scalability-claim,observation_type,Scalability Claim,Study-specific code: scalability-claim
service-offering,observation_type,Service Offering,Study-specific code: service-offering
