"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"spoke-node-ring","Spoke-Node-Ring (S-N-R) Planning Model","architecture-framework","Aberdeen Group","1990-1995","active-Aberdeen-framework","conceptually-superseded-by-cloud-edge","aberdeen-dops-distributed-open-prod-syst-cbae77","Continued from 1991 Multitrak deck (Study 6)"
"downsizing-it-strategy","IT Downsizing","strategy-pattern","Industry / Aberdeen-popularized","1989-1995","active-strategy-trend","absorbed-into-server-consolidation-then-cloud","aberdeen-dops-distributed-open-prod-syst-cbae77","Same Kastner downsizing definition as Study 6"
"dops-distributed-open-prod","Distributed Open Production Systems (DOPS)","architecture-framework","Aberdeen Group","1992-1996","active-Aberdeen-framework","absorbed-into-cloud-native-microservices","aberdeen-dops-distributed-open-prod-syst-cbae77","Aberdeen-coined umbrella for distributed/open/production-quality systems"
"encina-tp-monitor","Transarc Encina TP Monitor","TP-monitor","Transarc / IBM after 1994","1991-1999","active-product","merged-into-IBM-TXSeries-then-discontinued","aberdeen-dops-distributed-open-prod-syst-cbae77","Distributed transaction coordinator built on DCE; pivotal in DOPS deck"
"osf-dce","OSF Distributed Computing Environment (DCE)","distributed-systems-runtime","OSF/Open Group","1990-2005","active-product","discontinued-conceptually-superseded-by-grpc-rest","aberdeen-dops-distributed-open-prod-syst-cbae77","RPC + directory + security + threading framework; foundation of Encina"
"ibm-drda","IBM DRDA (Distributed Relational Database Architecture)","database-interoperability","IBM Corporation","1988-present","active-standard","still-shipping-on-Db2","aberdeen-dops-distributed-open-prod-syst-cbae77","IBM's distributed relational protocol; deck shows DRDA on S/390"
"ibm-cics","IBM CICS","TP-monitor","IBM Corporation","1968-present","industry-standard","still-shipping","aberdeen-dops-distributed-open-prod-syst-cbae77","IBM mainframe TP monitor; deck shows CICS/DCE on S/390"
"hp-allbase","HP Allbase/SQL","relational-DBMS","Hewlett-Packard","1984-2000s","active-product","discontinued","aberdeen-dops-distributed-open-prod-syst-cbae77","HP's relational DBMS; deck shows on HP 9000 MRP node"
"intelligent-applications","Intelligent Applications","design-pattern","Aberdeen Group","1993-1996","active-strategy-trend","evolved-into-serverless-and-managed-services","aberdeen-dops-distributed-open-prod-syst-cbae77","Kastner: apps that 'hide the complexities' of comm, data, location"
"two-phase-commit","Two-Phase Commit (2PC)","distributed-transaction-protocol","Industry / X-Open","1979-present","industry-standard-X-Open-XA-since-1991","still-relevant","aberdeen-dops-distributed-open-prod-syst-cbae77","By 1993 X/Open XA had standardized 2PC — Encina/DCE the implementation"
