"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"digital-equipment-corporation","Digital Equipment Corporation","company","computer-hardware","acquired","Compaq (1998) -> HP (2002)","1957-1998","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Achieved 6,712 tpmC/$65 per tpmC with Prioris ZX 6200MP 4-way NT server; subject of study's primary analysis"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Windows NT Server strategic direction analyzed; Wolfpack clustering development discussed"
"compaq","Compaq Computer Corporation","company","computer-hardware","acquired","HP (2002)","1982-2002","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","ProLiant 5000 benchmarks compared against Digital; Wolfpack partner; later acquired DEC in 1998"
"ibm","IBM Corporation","company","computer-hardware-software","active","","1911-present","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","RS/6000 J40 benchmarked at 5,774 tpmC/$198; AS/400 9406 at 1,496 tpmC/$320"
"hp-hewlett-packard","Hewlett-Packard Company","company","computer-hardware","active","Split HP Inc./HPE 2015","1939-present","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","HP 9000 K420 benchmarked at 4,939 tpmC/$232; mentioned as competitor in midrange market"
"sun-microsystems","Sun Microsystems","company","computer-hardware-software","acquired","Oracle (2010)","1982-2010","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Ultra and SPARCcenter midrange servers mentioned as competing in 3,000-15,000 tpm range"
"sequent","Sequent Computer Systems","company","computer-hardware","acquired","IBM (1999)","1983-1999","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Claimed NT scaling to 28 processors; used NUMA architecture for SMP extensions; acquired by IBM 1999"
"ncr","NCR Corporation","company","computer-hardware-software","active","","1884-present","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Scaled NT to 16 processors; mentioned as Wolfpack partner; NCR split from AT&T raised viability questions"
"tandem-computers","Tandem Computers","company","computer-hardware","acquired","Compaq (1997) -> HP (2002)","1974-1997","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Wolfpack core partner; acquired by Compaq in 1997"
"transaction-processing-council","Transaction Processing Council (TPC)","institution","standards-body","active","","1988-present","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Independent benchmarking organization; TPC-C benchmark data used for server market segmentation"
"stratus-technologies","Stratus Technologies","company","computer-hardware","active","","1980-present","aberdeen-1996-digital-debunks-ntsmp-scalability-myth","Mentioned as offering NT solutions but lacking financial muscle to compete with DEC on R&D"
