"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"dops","DOPS — Distributed Online Processing Systems (Aberdeen framework)","framework","Aberdeen Group","1992-1998","emerging","legacy","aberdeen-dops-tpc-1992-deck-bbe78e","Kastner's Aberdeen framework for distributed OLTP with multiple DBs/networks/heterogeneous HW"
"tpc-a","TPC-A benchmark","framework","TPC","1989-1995","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","Relational-DB DebitCredit-style benchmark"
"tpc-b","TPC-B benchmark","framework","TPC","1990-1995","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","Database-stress companion to TPC-A"
"vax-8830","DEC VAX 8830","platform","Digital Equipment","1988-1993","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","1988 best-performance reference in Aberdeen deck: 27 tps at $1,800K"
"vax-3100-80","DEC VAX 3100-80","platform","Digital Equipment","1992-1995","launch","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","1992 entry-level: 27 tps at $280K"
"vax-4000-300","DEC VAX 4000-300","platform","Digital Equipment","1991-1995","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","~$620K TPC-A at 40 tps"
"ibm-as400-d70","IBM AS/400 D70","platform","IBM","1991-1994","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","~$920K TPC-A at 40 tps — highest 5-yr TCO"
"ibm-rs6000-530h","IBM RS/6000 530H","platform","IBM","1991-1994","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","~$620K TPC-A at 40 tps"
"hp-9000-957lx","HP 9000 957LX","platform","Hewlett-Packard","1991-1993","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","49 tps TPC-A at ~$680K (starred in chart)"
"bull-dpx-2","Bull DPX/2","platform","Bull","1990-1994","production","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","Lowest-cost TPC-A at 40 tps-A: ~$450K"
"olds","OLDS — Online Decision Support","framework","industry","1990s","emerging","legacy","aberdeen-dops-tpc-1992-deck-bbe78e","Companion to OLTP in DOPS mixed-workload environments"
"runamuck-db","Runamuck database category","framework","Aberdeen Group","1990s","emerging","obsolete","aberdeen-dops-tpc-1992-deck-bbe78e","Kastner's informal DB category alongside Production/Snapshot/Test"
