entity_id,entity_name,entity_type,sector,hit_count,first_context
microsoft,Microsoft,company,Software,13,"*Visual BASIC**<br>**SmallTalk,**<br>**IBM VisualAge**<br>**Microsoft FOXpro**<br>**INFORMIX NewEra**<br>**CA-OPENROAD**<br>**Mic"
informix,Informix,company,relational database software,11,ata<br>Host-based 1st Generation C-S 2nd Generation  C-S<br>Informix<br>NewEra<br>is here<br>© Aberdeen 6<br>**----- End of pict
oracle,Oracle,company,enterprise software,10,"osoft’s Visual Basic and MFC, Sybase’s PowerBuilder, Forte, Oracle’s Developer/2000**      - **Toolsets increasingly support f"
ent-16,Sybase,software-vendor,database-software,6,"ic**<br>**investment**<br>**protection**<br>**C, C++**<br>**Sybase PowerBuilder,**<br>**Visual BASIC**<br>**SmallTalk,**<br>**"
aberdeen-group,Aberdeen Group,firm,IT market analysis,3,*Logic**<br>**investment**<br>**protection**||||    Source: Aberdeen Group   © Aberdeen _Group 1995_   8   **==> picture [662 x 30] in
seer-technologies,Seer Technologies,company,enterprise-software,3,osoft<br>Easel<br>Oracle<br>Uniface<br>Texas Instruments<br>Seer Technologies<br>Gupta<br>Pow erSoft<br>0 100 200 300 400 500 600<br>Reve
texas-instruments,Texas Instruments,company,semiconductor,1,s<br>Informix<br>Microsoft<br>Easel<br>Oracle<br>Uniface<br>Texas Instruments<br>Seer Technologies<br>Gupta<br>Pow erSoft<br>0 100 200 30
ingres,Ingres,company,database software,1,**Oracle**      - **Informix**      - **Progress**      - **Ingres (pre-CA)**   - **CADEs replacing 4GLs (incorporate them)**
uniface,Uniface,company,software,1,br> Progress<br>Informix<br>Microsoft<br>Easel<br>Oracle<br>Uniface<br>Texas Instruments<br>Seer Technologies<br>Gupta<br>Pow e
knowledgeware,KnowledgeWare,company,software,1,suppliers**      - **Intersolv**      - **Cadre**      - **Knowledgeware**   - **The acronym CASE is a turn-off to many IS buyers**
ENT-IRP-002,Aberdeen Group Inc.,Research Firm,IT Research & Advisory,1,ons<br>**----- End of picture text -----**<br>   _(source:  Aberdeen Group Inc..)_   © Aberdeen _Group 1995_   24   **==> picture [662 x 30
ENT-ORACLE-APP,Oracle Applications,product,enterprise-software,1,"**   - **Strong installed base**      - **Doing better than Oracle Applications, but well below Oracle RDBMS sales growth rates**      - **"
