"code","description"
"vendor-briefing","Data derived from vendor-provided briefings and documentation"
"product-evaluation","Analysis based on product feature assessment by Aberdeen analysts"
"user-interviews","Data collected from end-user interviews and field surveys"
"expert-opinion","Analyst expert opinion, prediction, or recommendation"
"field-research","Aberdeen ongoing field research and customer interviews"
"competitive-analysis","Aberdeen competitive market analysis and benchmarking"
"public-record","Verified post-publication fact from public record (press release, news)"
"historical-record","Verified outcome based on documented historical sources"
"actual-outcome","Post-study documented result that validates or refutes an earlier claim"
"framework-factor","A criterion or dimension in an analyst's evaluative framework"
"strategy-classification","Characterizes strategic positioning or market stance of a vendor or technology"
"technology-assessment","Evaluation of a technology's maturity, capabilities, or fitness"
"viability-prediction","Forward-looking claim about viability of a product, company, or market"
