"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Classification of an entity's strategic approach or positioning"
"viability-prediction","observation_type","Viability Prediction","Prediction about an entity's or technology's future viability or survival"
"actual-outcome","observation_type","Actual Outcome","Documented actual outcome post-publication verified via research"
"technology-assessment","limitations","Technology Assessment","Assessment of a technology's capabilities"
"benchmark-result","observation_type","Benchmark Result","Quantitative or qualitative performance benchmark result"
"framework-factor","observation_type","Framework Factor","A factor within an analytical framework"
"market-data","share","Market Data","Market size"
"expert-opinion","observation_type","Expert Opinion","Analyst or expert subjective opinion or recommendation"
"high","confidence_level","High Confidence","High confidence in the data point"
"medium","confidence_level","Medium Confidence","Medium confidence"
"low","confidence_level","Low Confidence","Low confidence"
"ANALYST-JUDGMENT","methodology_code","Analyst Judgment","Methodology: Aberdeen Group analyst assessment"
"VENDOR-PROVIDED","methodology_code","Vendor Provided","Methodology: Data provided by the profiled vendor"
"VENDOR-CLAIMED","methodology_code","Vendor Claimed","Methodology: Data claimed by vendor without independent verification"
"CUSTOMER-REPORTED","methodology_code","Customer Reported","Methodology: Data reported by Nortel customers in interviews"
"INDUSTRY-DATA","methodology_code","Industry Data","Methodology: Third-party industry research or market data"
"VERIFIED","methodology_code","Verified","Methodology: Verified via post-publication research"
"ESTIMATED","methodology_code","Estimated","Methodology: Estimated from available data; not directly stated"
