filename,page,sha1,size_bytes,labels_on_page
figure_001.png,6,70b0189070d6823a0ba401061adbd5d319029a47,134252,1;2;3;4;5;6;7;8;9;1;2;3;4;5
figure_002.png,8,d00430e7a72f342e2137bf555871cf26829471ab,275697,1
figure_003.png,9,254baa6b132da37b0e431835d4e5b3f8d429b9ac,252853,1
figure_004.png,10,dff614ce3f37d41eca9a966e16fe2b5145bd029d,285471,2
figure_005.png,12,e4f9ffbffdd2f8126662c01246b566d06c74def9,311496,3
figure_006.png,13,9dd3f8d289c1d5d1f38ab35cc0e0c996b68045dd,259430,3
figure_007.png,14,a49f0bc1c878855cac0faa09e8fb0cf9bcf68a1f,265223,2
figure_008.png,15,548a0be345c7a846bd3216a2bf8680bbdd5d7321,210750,4
figure_009.png,16,de46bb04a399e55326a2489efb5fcdf2947e521c,85337,5
figure_010.png,17,ea6b51fc920798221d856db3a771d615f59e0f64,231746,6;6
figure_011.png,18,9eca2c4fb64559f839840ba95cc6da0dec6a3d6e,259616,7
figure_012.png,19,4ad470101860b5c3abd5afa68eb9f3a251039e5c,209902,3;3;8
figure_013.png,20,c2bf205ccc366766441c41c1ebb75d8ed9ab226d,154609,8;4
figure_014.png,21,a4c1ff55e063dc6fb395a98320801ba04ea9604d,258226,4
figure_015.png,22,23e1f018c0b71789393910d9d140541a0278d179,136738,9;9
figure_016.png,31,363b826f569f975288cec6d7b7ee822eb7a1ce41,170832,5
