entity_id,entity_name,entity_type,sector,hit_count,first_context
aberdeen-group,Aberdeen Group,firm,IT market analysis,3,zing   Another rapidly advancing industry trend observed by Aberdeen Group is the downsizing of new applications onto non-mainframe pl
microsoft,Microsoft,company,Software,3,ocessing.  The anticipated second quarter availability of a Microsoft Windows-based Sapiens client is important in order to satis
nasdaq-stock-market,NASDAQ,institution,financial markets,3,ps://www.annualreports.com/HostedData/AnnualReportArchive/s/NASDAQ_SPNS_ 2008.pdf   [9] https://www.prnewswire.com/il/news-rel
alex-brown-sons,Alex. Brown & Sons,firm,investment-banking,3,"February 24, 1992   Mr. Alfred Berkley Alex. Brown & Sons 135 East Baltimore Street Baltimore, MD  21202   Dear Mr. B"
peter-kastner,Peter S. Kastner,person,IT Market Research,2,"rnational, please do not hesitate to call.   Yours truly,   Peter S. Kastner Vice President   ## **2024 Metadata**   ### Summary of Find"
yahoo,Yahoo,company,internet-portal,2,iki/Sapiens_International_Corporation   [3] https://finance.yahoo.com/news/public-companies-account-44-sapiens132554735.html
stratus-computer,Stratus Computer,company,technology/fault-tolerant computing,1,"relationship with IBM.  Based on my personal experiences at Stratus Computer (IBM System/88), Sapiens International is similarly benefit"
computerworld,Computerworld,firm,Technology Media / Publishing,1,"reason to disbelieve the competitive win by Sapiens in the Computerworld application development benchmark.  However, the concepts o"
sapiens-international,Sapiens International Corporation,company,enterprise-software,1,"24, 1992. The report details   the findings from a visit to Sapiens International Corporation to review their Sapiens product. Key findings include:   -"
reuters,Reuters,firm,news-wire,1,] https://stockanalysis.com/stocks/spns/   [17] https://www.reuters.com/markets/deals/israeli-insurance-software-maker-sapiense
