"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"inforx95-3-9a45fe-001","inforx95-3-9a45fe","aberdeen-group","rdbms","competitive-position","1994","informix_revenue","$469 million total 1994 corporate revenue; up 33% from 1993","high","ingest-extraction","financial-data","slide-10","Informix 1994 revenue and growth rate"
"inforx95-3-9a45fe-002","inforx95-3-9a45fe","aberdeen-group","rdbms","competitive-position","1994","informix_trailing_12mo_revenue","$568 million (last 12 months as of mid-1995)","high","ingest-extraction","financial-data","slide-10","Informix trailing 12-month revenue"
"inforx95-3-9a45fe-003","inforx95-3-9a45fe","aberdeen-group","rdbms","competitive-position","1995","informix_market_cap","$4.3 billion (up from $1.5B in 1994)","high","ingest-extraction","financial-data","slide-10","Informix market capitalization July 1995"
"inforx95-3-9a45fe-004","inforx95-3-9a45fe","aberdeen-group","rdbms","market-growth","1995","informix_stock_gain","Up 207% in last 52 weeks (as of 7/29/95)","high","ingest-extraction","financial-data","slide-10","Informix stock price appreciation"
"inforx95-3-9a45fe-005","inforx95-3-9a45fe","aberdeen-group","rdbms","competitive-position","1994","informix_tools_revenue","$150M of $470M total in 1994","high","ingest-extraction","financial-data","slide-26","Informix tools revenue as share of total"
"inforx95-3-9a45fe-006","inforx95-3-9a45fe","aberdeen-group","rdbms","market-size","1994","informix_licenses_sold","Over 500,000 licenses sold","high","ingest-extraction","financial-data","slide-26","Informix total license count"
"inforx95-3-9a45fe-007","inforx95-3-9a45fe","aberdeen-group","rdbms","competitive-position","1994","informix_partner_tool_usage","75% of partner applications use Informix tools","high","ingest-extraction","market-research","slide-26","Partner tool adoption rate"
"inforx95-3-9a45fe-008","inforx95-3-9a45fe","aberdeen-group","rdbms","competitive-position","1994","informix_market_rank","Third-largest RDBMS supplier","high","ingest-extraction","expert-analysis","slide-11","Informix ranking in RDBMS market"
"inforx95-3-9a45fe-009","inforx95-3-9a45fe","oracle-corporation","oracle-7","competitive-position","1994","oracle_revenue","$2.4 billion total 1994 corporate revenue; up 40% from 1993","high","ingest-extraction","financial-data","slide-14","Oracle 1994 revenue and growth"
"inforx95-3-9a45fe-010","inforx95-3-9a45fe","oracle-corporation","oracle-7","competitive-position","1995","oracle_market_cap","$18.7 billion (up 100% from 1994)","high","ingest-extraction","financial-data","slide-14","Oracle market capitalization mid-1995"
"inforx95-3-9a45fe-011","inforx95-3-9a45fe","oracle-corporation","oracle-7","competitive-position","1995","oracle_projected_revenue","On track for $3.6+ billion in revenues in fiscal 1996","high","ingest-extraction","expert-analysis","slide-15","Oracle FY1996 revenue projection"
"inforx95-3-9a45fe-012","inforx95-3-9a45fe","sybase","sybase-sql-server","competitive-position","1994","sybase_revenue","$826 million total 1994 corporate revenue; up 71% from 1993","high","ingest-extraction","financial-data","slide-4","Sybase 1994 revenue and growth"
"inforx95-3-9a45fe-013","inforx95-3-9a45fe","sybase","sybase-sql-server","competitive-position","1995","sybase_market_cap","$2.4 billion (July 28, 1995)","high","ingest-extraction","financial-data","slide-4","Sybase market capitalization"
"inforx95-3-9a45fe-014","inforx95-3-9a45fe","sybase","sybase-sql-server","competitive-position","1995","sybase_stock_drop","41% stock price drop -- first week April 1995","high","ingest-extraction","financial-data","slide-4","Sybase stock price decline event"
"inforx95-3-9a45fe-015","inforx95-3-9a45fe","computer-associates","ca-ingres","competitive-position","1994-1995","ca_revenue","$2.74 billion; 22.2% net profit margin (best in database industry)","high","ingest-extraction","financial-data","slide-8","Computer Associates revenue and profitability"
"inforx95-3-9a45fe-016","inforx95-3-9a45fe","computer-associates","ca-ingres","market-share","1994-1995","ca_cs_revenue_share","Client-server now 30% of CA business; remainder mainframe","high","ingest-extraction","market-research","slide-8","CA client-server vs mainframe mix"
"inforx95-3-9a45fe-017","inforx95-3-9a45fe","aberdeen-group","tpc-c","benchmark-result","1995","informix_tpc_performance","Informix-OnLine frequently highest performing midrange-server database on TPC-C benchmarks","high","ingest-extraction","benchmark","slide-10","Informix TPC-C benchmark claim"
"inforx95-3-9a45fe-018","inforx95-3-9a45fe","aberdeen-group","rdbms","strategic-assessment","1995","informix_dsa_strengths","Infinite scalability (shared-nothing); excellent parallel SQL on SMP; high availability; full RDBMS functionality","high","ingest-extraction","expert-analysis","slide-22","Aberdeen assessment of Informix DSA advantages"
"inforx95-3-9a45fe-019","inforx95-3-9a45fe","aberdeen-group","rdbms","viability-prediction","1995","informix_xps_delivery","XPS just being delivered in Q4-1995; competes with IBM DB2/6000, Oracle, Sybase plus AT&T Teradata","high","ingest-extraction","expert-analysis","slide-12","XPS rollout timeline prediction"
"inforx95-3-9a45fe-020","inforx95-3-9a45fe","aberdeen-group","rdbms","actual-outcome","1996","informix_xps_delivery","unknown","medium","ingest-extraction","expert-opinion","unknown","Placeholder for XPS delivery outcome"
"inforx95-3-9a45fe-021","inforx95-3-9a45fe","aberdeen-group","rdbms","strategic-assessment","1995","informix_secret_success","Informix is a secret success -- strong DSA architecture; advanced tools led by NewEra","high","ingest-extraction","expert-analysis","slide-36","Aberdeen Group overall Informix findings"
