"code_id","code_type","label","definition"
"user-interviews","methodology","User Interviews","Interviews with IS buyers and users conducted by Aberdeen analysts"
"product-eval","methodology","Product Eval","Direct evaluation of vendor product capabilities"
"analyst-assessment","methodology","Analyst Assessment","Analysis based on Aberdeen Group analyst evaluation and judgment"
"web-research","observation_type","Web Research","Outcome determined through post-hoc web research and secondary sources"
"document","methodology","Document","Factual data extracted directly from the study document"
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
