# Source: AMD Price Data.xls

## Sheet: AMD (43 rows x 7 cols)
[r0]  | Processor |  |  |  |  | 
[r1] Selling Date | Athlon 1800+ | Athlon 2000+ | Athlon 2100+ | Athlon 2200+ | Athlon 2400+ | Athlon 2600+
[r2] 2002-07-07 | 700 | 1200 |  |  |  | 
[r3] 2002-07-14 | 900 | 1000 | 1200 |  |  | 
[r4] 2002-07-21 | 900 | 900 | 1200 |  |  | 
[r5] 2002-07-28 | 900 | 900 | 1200 |  |  | 
[r6] 2002-08-04 | 900 | 900 | 1200 |  |  | 
[r7] 2002-08-11 | 900 | 750 | 1200 |  |  | 
[r8] 2002-08-18 | 750 | 1000 | 1200 |  |  | 
[r9] 2002-08-25 | 900 | 1000 | 1100 | 1200 |  | 
[r10] 2002-09-01 | 900 | 900 | 1200 | 1100 |  | 
[r11] 2002-09-07 | 900 | 900 | 1200 | 1100 |  | 
[r12] 2002-09-15 | 900 | 900 | 1350 | 1100 |  | 
[r13] 2002-09-22 | 750 | 1000 | 1350 | 1100 |  | 
[r14] 2002-09-29 | 1000 | 750 | 900 | 1100 |  | 
[r15] 2002-10-06 | 750 | 750 | 1100 | 900 | $1,600.00+ | 
[r16] 2002-10-13 | 900 |  |  | 1100 | $1,600.00+ | 
[r17] 2002-10-20 | 600 |  |  | 900 |  | 
[r18] 2002-10-28 |  |  |  | 900 | 1050 | 
[r19] 2002-11-03 | 600 | 750 |  | 900 | 1200 | 
[r20] 2002-11-10 | 600 | 750 |  | 750 | 1050 | 
[r21] 2002-11-17 | 600 | 750 |  | 750 | 900 | 
[r22] 2002-11-24 |  | 600 |  | 750 | 1200 | 
[r23] 2002-12-01 | 600 | 750 |  | 750 | 1050 | 
[r24] 2002-12-08 | 600 | 750 |  | 750 | 1050 | 
[r25] 2002-12-15 | 600 | 750 |  | 900 | 900 | 
[r26] 2003-12-22 | 600 | 900 |  | 750 |  | 900
[r27] 2002-12-29 | 600 | 600 |  | 750 |  | 1600
[r28]  | Athlon 1800+ | Athlon 2000+ | Athlon 2100+ | Athlon 2200+ | Athlon 2400+ | Athlon 2600+
[r29] 2002-01-05 | 600 | 750 |  | 900 | 1050 | 
[r30] 2003-01-12 | 600 | 600 |  | 900 | 750 | 
[r31] 2003-01-19 | 600 | 600 |  | 900 | 750 | 1050
[r32] 2003-01-26 | 600 | 750 |  | 600 | 750 | 900
[r33] 2003-02-02 | 600 | 750 |  | 900 | 750 | 1050
[r34] 2003-02-09 | 600 | 600 |  | 600 | 750 | 900
[r35] 2003-02-16 | 600 | 750 |  | 750 | 750 | 900
[r36] 2003-02-23 | 600 | 750 |  | 600 | 750 | 1050
[r37] 2003-03-02 | 750 | 600 |  | 600 | 750 | 1200
[r38] 2003-03-09 | 600 | 600 |  | 600 | 750 | 900
[r39] 2003-03-16 | 600 | 600 |  | 600 | 750 | 900
[r40] 2003-03-23 | 600 | 600 |  | 600 | 750 | 900
[r41] 2003-03-30 |  | 600 |  | 600 | 750 | 900
[r42] 2003-04-06 |  | 600 |  | 600 | 750 | 900
