"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Describes a company's stated strategic direction, market positioning, or declared competitive intent at the time of the study"
"viability-prediction","observation_type","Viability Prediction","Analyst forecast about whether a company, product, or strategy will succeed or fail; forward-looking judgment made at time of study"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"expert-opinion","observation_type","Expert Opinion","Analyst judgment, interpretation, or recommendation based on experience and domain knowledge rather than directly measured data"
"field-research","methodology_code","Field Research","Primary research conducted through direct interaction with products, services, or market participants in real-world settings"
"product-testing","methodology_code","Product Testing","Hands-on evaluation of a specific product through direct use, installation, and functionality testing by the researcher"
"high","confidence","High Confidence","Finding is directly supported by the source text with clear evidence; minimal interpretive uncertainty"
"medium","confidence","Medium Confidence","Finding is supported by the source text but requires some interpretive inference or extrapolation"
"low","confidence","Low Confidence","Finding is inferred from limited evidence in the source text or involves significant extrapolation"
"lab-journal","study_type","Lab Journal","Aberdeen Group format for hands-on product evaluations; first-person account of researcher's direct experience with a specific product or technology"
"consumer-IT","subject_domain","Consumer IT","Products and services at the intersection of consumer electronics and information technology; includes PCs, cameras, and home networking aimed at mainstream consumers"
