filename,page,sha1,size_bytes,labels_on_page
figure_001.png,4,02ab797b3679da3faea3dfce43737bdfbee39e64,232723,1;2;3;4;5;6;7;8;9;10
figure_002.png,5,4ca1c42c8fabc3584f85feb823356677e835f215,101103,1;2;3;4;5;6
figure_003.png,6,26a343c0cf1cd7f422c5e521a5e1093d9eac4bbe,277757,1
figure_004.png,7,072e6ae83c16f3563759683069965a6d2c1779f0,266171,1
figure_005.png,8,e99cc7b1351d9aff424a82798cd19b5a386d0a90,239197,2;3
figure_006.png,9,73fed679e157d58a425c1e89e4f7d078ee7929c6,255716,2
figure_007.png,10,e8e292e4601298064d7c88bf2e28b86ac8821af7,291307,2
figure_008.png,12,ffbedbe5954516b216aa44e0ed61af15ebf34336,279229,3
figure_009.png,13,8fd7d16227e73eed1a3abe6a790ca640fddb4b04,244315,4;5
figure_010.png,14,d00228be81cd2a98ffb3c292f0d3f75c1d6ec7b8,221670,6;7
figure_011.png,15,63fb34a53a4a92d847b8abd608e3deed179b4812,294269,8
figure_012.png,16,31aff533b76ae9277d056648c5f56545e95ea1bd,316356,9
figure_013.png,17,1df5a028ef80b4fc4b8d4ea52790d13b8e4ed2b1,165056,10
figure_014.png,21,a918586561dfb173da410415102aacadd833461b,326931,4;5
figure_015.png,22,78059e04f2fadbad4fe62f4b85c31a6327657530,113612,6
