"study_id","title","author","date","type","subject_domain","methodology","source_file","abstract","license","importance","importance_rationale","relevance","relevance_rationale","prescience","prescience_rationale"
"cnbc-sars-electronics-supply-chain-impact-92deff","CNBC: SARS Impact on Global Electronics Supply Chain (Kastner as Chief Research Officer, Aberdeen Group)","CNBC (anchors: Leslie, Martha; with Peter S. Kastner, Aberdeen Group)","2003-04-03","transcript","global-supply-chain-disruption","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript SARS CNBC 4_3_2003.md","5-minute CNBC segment on SARS's potential impact on the global electronics industry. Kastner (Chief Research Officer, Aberdeen Group) frames the analysis: electronics industry worth ~$1 trillion globally; 115 million PCs assembled in Asia (many in China); RBC has cut PC/notebook demand projections. Discusses semiconductor, PC, and communications firm exposure (incl. Motorola closing a Singapore cell phone plant). CEO travel cancellations; Intel postponing developer forum. Kastner criticizes Chinese government's initial information withholding, citing executive concerns and Taiwan's president. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","Pete-flagged HIGH IMPACT. Kastner as Chief Research Officer providing primary supply-chain analysis at the start of the SARS crisis — exactly the kind of moment that anchors a 'prescience' case.","high","Kastner is the central analyst on-air; pure Aberdeen Group coverage of supply-chain disruption mechanics.","high","Pete-flagged as high-impact for prescience: Kastner identified the pandemic-driven supply-chain disruption mechanism in real time during SARS — pattern reactivated and intensified by COVID-19 17 years later. Confirm prescience scoring vs full prescience methodology when running Pass B/Pass C."
"nbc-nightly-sars-economic-impact-electronics-39b4da","NBC Nightly News (Tom Brokaw): SARS Economic Impact, Electronics Supply Chain, Asia Travel Bans","NBC Nightly News (Tom Brokaw; Ann Thompson reporting; with Peter S. Kastner, Aberdeen Group)","2003-04-03","transcript","global-supply-chain-disruption","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript SARS NBC Nightly News segment (4_3_2003).md","3-minute NBC Nightly News special edition (Tom Brokaw) on SARS economic fallout running concurrent with the Iraq war. Ann Thompson reports: spike in first-time jobless claims, sharp drop in US service-sector activity, 27% of companies banning Asia travel (Business Travel Coalition), $22M/month US airline ticket revenue at risk to Asia. Kastner ('high-tech consultant') warns of factory-closure risk and consumer-electronics availability impact. Pre-SARS Asian economies (ex-Japan) growing at 5%; SARS threatens US exports and overall recovery. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","Pete-flagged HIGH IMPACT. Network-evening-news placement gives Kastner's supply-chain thesis the broadest possible 2003 audience.","high","Kastner is the named expert on the electronics-industry impact angle in a Tom Brokaw segment.","high","Pete-flagged as high-impact for prescience: companion to the CNBC same-day segment. Mass-audience network broadcast of the pandemic-supply-chain mechanism documented 17 years before COVID-19."
"dec-blue-monday-internal-sales-training-dectp-vs-ibm-0021cc","DEC 'Blue Monday' Internal Sales Training: DECtp Strategy vs IBM and Tandem","Peter S. Kastner","1988-08-01","transcript","video-transcript/transaction-processing","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript DEC Blue Monday 8_1_1988 DECtp.md","Verbatim transcript of DEC's 'Blue Monday' internal sales training event (Burlington, VT, 1 Aug 1988) on Digital's transaction-processing strategy versus IBM and Tandem. Aberdeen Group's John Logan and Peter Kastner predict DEC will become the TP vendor of choice in the 1990s; Steve Smith of Payne-Webber argues DEC TP will drive demand for bigger systems. Heavy benchmark content: VAX 8830 ≈ IBM 3090-200E at one-fifth the cost; DEC TP revenue estimated at $1B/year, equal to Tandem; TP market $21B/year growing 2x the broader computer market.","CC-BY-4.0","high","61-minute DEC TP strategy event with Aberdeen, Payne-Webber, and Applied Expert Systems analyst panels; first-party DEC TP market sizing and VAX 8830 vs IBM 3090 benchmark claims; Logan's 1988 viability prediction that DEC would become TP vendor of choice in the 1990s.","medium","Captures late-1980s TP competitive frame (IBM mainframe vs Tandem fault-tolerant vs DEC VAX) and Aberdeen analyst methodology; specific benchmark numbers are dated but the strategic framing remains a useful historical anchor.","low","Logan's central prediction (DEC TP vendor of choice in 1990s) did not occur; DEC continued losing TP share through early 1990s and was acquired by Compaq in 1998. Kastner's $1B DEC TP revenue estimate and 'triple market share' projection both overshot reality. Smith's broader 'dinosaur mainframe being challenged' thesis was directionally correct but on a longer arc than DEC's own demise allowed."
"informix-universal-server-launch-object-relational-fb2cd4","Informix Universal Server Launch: The First Object-Relational DBMS","Peter S. Kastner","1996-12-01","transcript","video-transcript/object-relational-databases","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript Informix Universal Server launch (12_1996).md","Verbatim transcript of Informix's Universal Server launch event (Dec 1996, New York). Phil White (CEO) and Mike Stonebraker (CTO, ex-Ingres/Illustra founder) introduce the first commercial object-relational DBMS, integrating DataBlade extensions for text, 2D-spatial, image, video, time-series, and Java types. Stonebraker predicts ORDBMS will replace relational as the mainstream database within a few years. Ed Zander (Sun president) keynotes on the network-computer thesis. Panels of DataBlade partners (FAME, Open Market, MapInfo, Kodak, Excalibur, NEC) and beta customers (GE Information Services, GDE Systems, CS First Boston, CitySearch, Creative Artists Agency) anchor the launch. $8-10B database market, growing 30-50%; 1500+ apps already in production; 29 DataBlades available, 51 more announced; stock up from $17 to $27.50 in two weeks.","CC-BY-4.0","high","Anchor event for the object-relational database thesis -- Stonebraker's explicit prediction that ORDBMS will replace pure relational systems as mainstream within a few years. Heavy first-party market sizing ($8-10B DB market, 30-50% growth), benchmark claims (Universal Server 10-1000x faster than middleware), and DataBlade partner ecosystem. Captures Informix at its peak (stock $17 -> $27.50 in two weeks) before its 2000-2001 collapse and IBM acquisition.","high","The architectural ideas Stonebraker advocated (typed extensions, spatial, text, time-series, and rich JSON-like types co-existing with relational) became core to modern PostgreSQL, Oracle, SQL Server, and the broader database industry. The transcript is a primary-source snapshot of the object-relational thesis at its commercial debut.","medium","Stonebraker's directional thesis was validated -- modern relational DBMSes are object-relational in everything but name (PostgreSQL JSON/GIS/full-text, SQL Server, Oracle, DuckDB types). But Informix the company lost the commercial race: stock collapsed 1997-2000, accounting scandal, IBM acquired Informix in 2001. Phil White's 'twelve to eighteen months ahead of anybody in the industry' claim did not translate into durable market leadership. Mixed prescience: idea right, company wrong."
"crossroads-ad-buy-vs-make-integration-fc4acd","Crossroads Ad 1 (1997): Buy vs Make EAI Integration","Peter S. Kastner","1997-01-01","transcript","video-transcript/enterprise-application-integration","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript Crossroads ad 1 1997.md","Two-minute Crossroads Software commercial featuring Peter Kastner as the buy-vs-make spokesman for enterprise application integration (EAI). Kastner argues that custom-built integration between major apps (Oracle, SAP, Vantive) is fragile and costs $1.5-4M per pair, while Crossroads cuts lifetime (5-7 yr) maintenance costs by 40-60% (sometimes 90%). The ad positions Crossroads as enabling best-in-class mix-and-match application portfolios.","CC-BY-4.0","low","Short vendor commercial; captures Kastner's EAI cost-savings thesis and the late-1990s best-of-breed-vs-suite debate. Limited analytical depth.","medium","Buy-vs-make framing and best-of-breed application portfolios remain a perennial enterprise IT debate today (modern: composable ERP, iPaaS, MACH).","medium","Kastner's specific 40-60% (up to 90%) maintenance-savings claim could not be independently validated post-Crossroads acquisition. Crossroads Software was acquired by webMethods in 2001 and folded into Software AG; the EAI category broadly survived under iPaaS branding. Direction right, vendor specifics unverifiable."
"crossroads-ad-process-wear-enterprise-apps-9c8527","Crossroads Ad 2 (1997): Process Wear for Enterprise Applications","Peter S. Kastner","1997-01-01","transcript","video-transcript/enterprise-application-integration","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript Crossroads ad 2.md","One-minute Crossroads commercial variant. Peter Kastner positions Crossroads as a unique plug-and-play packaged application integration solution for complex modern businesses, coining the slogan 'process wear for enterprise applications.' Targets CIOs facing end-to-end integration demands that previously could not be addressed.","CC-BY-4.0","low","Very short ad; primarily a tagline and CIO pitch. Limited analytical content.","low","Tagline-driven marketing; minimal independent analytical content beyond Kastner's uniqueness claim.","low","The 'process wear' framing did not catch on as industry vocabulary; iPaaS and middleware took over the EAI category positioning."
"sybase-xi-launch-boats-analogy-multiple-databases-79c9ee","Sybase XI Launch: Kastner Boats-Analogy Endorsement of Multi-DB Strategy","Peter S. Kastner","1996-01-01","transcript","video-transcript/database-portfolio-strategy","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript Sybase XI launch.md","One-minute Kastner clip from Sybase XI (System 11) launch event. Kastner uses a boats analogy (solings for Olympic racing, tenders for moving people, cruisers for sailing/travel) to praise Sybase's multi-product strategy of offering distinct databases tuned to different workloads: OLTP, data warehousing, disconnected users, and mass-distributed replicated systems. Endorses Sybase's portfolio approach as 'very intelligent.'","CC-BY-4.0","low","Short analyst-endorsement clip from Sybase XI launch. Captures Sybase's mid-1990s portfolio strategy and Kastner's view of workload-specific database specialization.","medium","The workload-specialized DB thesis (OLTP vs warehousing vs replication vs edge) was directly validated -- modern stacks split OLTP / OLAP / streaming / NoSQL / edge across separate engines.","high","Kastner's endorsement of workload-specific database specialization was strongly validated by the next 25 years of database evolution: OLTP vs analytical (data warehouse / lakehouse) separation; mobile/disconnected -> SQLite/local-first; mass-replicated -> distributed SQL (CockroachDB, Spanner) and conflict-free replicated data types. The directional bet right."
"oracle-data-warehousing-launch-multimedia-spatial-d63644","Oracle Data Warehousing launch: Comprehensive Approach Including Multimedia and Spatial Data","Peter S. Kastner","1996-01-01","transcript","video-transcript/oracle-data-warehousing","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript oracle data warehousing launch.md","3-minute Oracle data warehousing launch segment from 1996. Oracle announces a comprehensive view of data warehousing — client-side tools, development, analysis, data population from production systems — and expands the warehouse to include multimedia, spatial, and text data. Peter Kastner (Aberdeen Group) frames warehousing as systems integration and notes that data cleansing forces clean operational systems, with Oracle's one-stop-shop story as a key advantage.","CC-BY-4.0","medium","Captures Oracle's expansion of its data-warehousing platform to multimedia, spatial, and text — a strategically significant breadth play during the warehouse era.","medium","Patterns (one-stop-shop, warehouse forces clean operational systems) remain instructive; specifics dated.","[DEFERRED]","Predictions need Phase 3 verification."
"crossroads-launch-front-back-office-integration-508c58","Crossroads Software launch event (June 1997): Industry of Collaborations for Plug-and-Play Integration","Peter S. Kastner","1997-06-01","transcript","video-transcript/crossroads-software","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript Crossroads launch (June1997).md","4-minute Crossroads Software launch event clip with Peter Kastner (June 1997). Documents the $1-5M-per-integration cost burden, $50-100B annual US in-house programmer spend on integration, and Crossroads' 'industry of collaborations' thesis for plug-and-play front-and-back-office integration. Kastner: 'great idea after market validation'; the integration Promised Land is closer; no other company doing exactly what Crossroads is doing.","CC-BY-4.0","medium","Captures Crossroads' launch thesis and Kastner's framing of the front/back-office integration market.","medium","Integration economics framework remains relevant; specific vendor outcomes need Phase 3 verification.","[DEFERRED]","Predictions about Crossroads category and integration economics need outcome verification."
"crossroads-june-1997-launch-variant-cut-caea12","Crossroads Software (June 1997, alternate cut): Front-Back Office Integration Industry of Collaborations","Peter S. Kastner","1997-06-01","transcript","video-transcript/crossroads-software","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript crossroads (6_1997).md","4-minute alternate cut of the June 1997 Crossroads Software launch material. Restates the integration thesis with alternate phrasings: no US company had fully integrated front-and-back-office apps; $1-5M per-integration cost; and Crossroads' 'industry of collaborations' framing. Companion to the primary June 1997 launch study; preserved as a separate study with cross-reference.","CC-BY-4.0","low","Variant cut; primary content captured in crossroads-launch-front-back-office-integration-508c58.","medium","Useful for cross-cut verification of Kastner phrasings during the same launch event.","[DEFERRED]","Predictions overlap with primary cut; need Phase 3 verification."
