"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"rs6000","IBM RS/6000","platform","IBM","1990-","mature","legacy","ibm-rs6000-midran~1-88f049","Second largest multiuser RISC/UNIX supplier; 19% share; $2B 1994 revenues"
"ibm-sp2","IBM SP2","platform","IBM","1994-","emerging","legacy","ibm-rs6000-midran~1-88f049","Massively parallel; up to 512 Power2 processors; $200M revenues 1994"
"db2-6000","IBM DB2/6000","application","IBM","1993-","growth","legacy","ibm-rs6000-midran~1-88f049","Frequently bundled with RS/6000; neither fastest nor cheapest"
"powerpc-601","PowerPC 601","hardware","IBM/Motorola/Apple","1993-","emerging","legacy","ibm-rs6000-midran~1-88f049","Transitioning RS/6000 from uniprocessor Power2 to SMP PowerPC 601"
"power2-rios","IBM Power2 (RIOS)","hardware","IBM","1990-","mature","legacy","ibm-rs6000-midran~1-88f049","Previous generation RS/6000 processor; being replaced by PowerPC"
"aix","IBM AIX","platform","IBM","1986-","mature","current","ibm-rs6000-midran~1-88f049","AIX 4.x running on SP2; UNIX variant for RS/6000 and SP2"
"hp-9000","HP 9000","platform","HP","1984-","mature","legacy","ibm-rs6000-midran~1-88f049","45% multiuser RISC/UNIX share; $4.5B 1994 revenues; PA-RISC based"
"hp-3000","HP 3000","platform","HP","1972-2003","mature","end-of-life","ibm-rs6000-midran~1-88f049","Legacy MPE/IX system on HP PA-RISC hardware"
"hp-pa-risc","HP PA-RISC","hardware","HP","1986-","mature","legacy","ibm-rs6000-midran~1-88f049","PA-7200 cited as not fastest chip in market in 1995"
"openview","HP OpenView","application","HP","1988-","mature","legacy","ibm-rs6000-midran~1-88f049","Systems management framework; HP strength"
"alpha-axp","Digital Alpha AXP (ALPHAserver)","platform","Digital","1992-","emerging","legacy","ibm-rs6000-midran~1-88f049","64-bit RISC; 150% revenue growth 1994; $2.5B total revenues with add-ons"
"digital-vax","Digital VAX/OpenVMS","platform","Digital","1977-","declining","legacy","ibm-rs6000-midran~1-88f049","VAX revenues declining 35-50% per annum in 1994"
"digital-osf1","Digital OSF/1 (UNIX)","platform","Digital","1992-","emerging","legacy","ibm-rs6000-midran~1-88f049","Meets specifications of more standards groups than any other UNIX"
"sparcenter-2000","Sun SPARCcenter 2000","platform","Sun","1992-","mature","legacy","ibm-rs6000-midran~1-88f049","2 to 20 processors; 10% RISC/UNIX share; $1.1B revenues"
"sparcserver-1000","Sun SPARCserver 1000","platform","Sun","1992-","mature","legacy","ibm-rs6000-midran~1-88f049","2 to 8 processors"
"solaris","Sun Solaris","platform","Sun","1991-","mature","current","ibm-rs6000-midran~1-88f049","Problems in 1994 transition cited; real-world scalability issues"
"openlook","Sun OpenLook GUI","application","Sun","1988-","declining","end-of-life","ibm-rs6000-midran~1-88f049","Risk of exclusion from future standards"
"att-unix-svr4","AT&T Unix System V.4 MP","platform","AT&T","1988-","mature","legacy","ibm-rs6000-midran~1-88f049","With Reliability, Availability, Serviceability enhancements; AT&T GIS servers"
"teradata-dss","Teradata DSS Platform","platform","Teradata","1979-","mature","current","ibm-rs6000-midran~1-88f049","Decision support platform for AT&T GIS; backlash from mismanagement"
"netview","IBM NetView","application","IBM","1986-","mature","legacy","ibm-rs6000-midran~1-88f049","Mentioned as part of whole RS/6000 story"
"data-propagator","IBM Data Propagator","application","IBM","1993-","emerging","legacy","ibm-rs6000-midran~1-88f049","Data replication between mainframe and RS/6000"
"oracle-rdb","Oracle Rdb","application","Oracle","1984-","mature","legacy","ibm-rs6000-midran~1-88f049","Acquired from Digital Equipment; Oracle acquires RDB and installed base"
"windows-nt","Microsoft Windows NT","platform","Microsoft","1993-","emerging","current","ibm-rs6000-midran~1-88f049","Cited as squeezed HP at low end; future for Alpha/NT"
"netware","Novell NetWare","platform","Novell","1983-","mature","legacy","ibm-rs6000-midran~1-88f049","Mentioned as OS option on AT&T GIS low-end servers"
"os2","IBM OS/2","platform","IBM","1987-","mature","legacy","ibm-rs6000-midran~1-88f049","Mentioned as OS option on AT&T GIS low-end servers"
