entity_id,entity_name,entity_type,sector,hit_count,first_context
omnibox-inc,"OmniBox, Inc.",company,interactive-television,39,"ntionally omitted <==**  _**OmniBox™ Network Main Menu**_   OmniBox, Inc.   ## **Contents**   ## PART ONE:  OVERVIEW   Introduction ."
primestar,Primestar,company,direct-broadcast-satellite,3,"ile the cable industry goes through its digital conversion, Primestar, DirecTV, EchoStar and AlphaStar have mounted aggressive ma"
intel,Intel,company,semiconductors,2,"l out services than on educating and convincing consumers.  Intel estimated that in 1994, 26 million homes already had both a"
directtv,DirecTV,company,broadcast,2,"le industry goes through its digital conversion, Primestar, DirecTV, EchoStar and AlphaStar have mounted aggressive marketing c"
bank-one,Bank One,company,financial-services,2,"Based on experience with its transaction processing partner Bank One, OmniBox’s approach should prove attractive to the majority"
aberdeen-group,Aberdeen Group,firm,IT market analysis,1,0 million-and-up market range by the year 2000 according to Aberdeen Group.  The two key enablers will be $300 (retail) CD-ROM recorde
forrester,Forrester Research,firm,IT market analysis,1,"ons)<br>$1,000<br>$800<br>$600<br>Paul Kagan Assoc.<br>$400 Forrester Research<br>$200<br>$0<br>1996 1997 1998 1999 2000<br>**----- End of"
wang-laboratories,Wang Laboratories,company,technology,1,"subject of telemarketing at executive seminars sponsored by Wang Laboratories   _**Dominic Ambrosio, Vice President, Operations**_ Mr. Am"
lucent-technologies,Lucent Technologies,company,telecommunications,1,l out in 1998.   ## **Key Partnerships and Alliances**   _**Lucent Technologies**_ provides the Inferno operating system that underlies Omn
time-warner-cable,Time Warner Cable,company,cable-mso,1,em supplier to successfully demonstrate this integration on Time Warner Cable’s Quantum system in New York City.  This technology allows
webtv,WebTV,company,consumer-electronics,1,"pport rapid thirdparty development of add-ons.   Similarly, WebTV came to retail stores with limitations of content and usabi"
dun-and-bradstreet,Dun & Bradstreet,vendor,,1,"business units.  Earlier, in senior management positions at Dun & Bradstreet and Trans World Airlines, he planned and directed the start"
thomas-a-bush,Thomas A. Bush,person,technology,1,"ny from its development stage to full-scale operation:   _**Thomas A. Bush, Chief Executive Officer**_ Mr. Bush, OmniBox’s founder, co"
frost-sullivan,Frost & Sullivan,firm,IT-research,1,ve Television Plus Electronic Commerce**   A 1996 report by Frost & Sullivan projects the market for interactive television and associat
paul-knollmeyer,Paul R. Knollmeyer,person,finance,1,"tage to a fully operational, market-driven enterprise.   _**Paul R. Knollmeyer, Chief Financial Officer**_ Mr. Knollmeyer brings considera"
john-vandervort,John A. Vandervort,person,marketing,1,"e New York Institutes of Certified Public accountants.   _**John A. Vandervort, Vice President, Marketing**_ Mr. Vandervort has 20 years o"
john-hylan,John Hylan,person,sales-marketing,1,"within numerous engineering professional associations.   _**John Hylan, Executive Vice President, Transaction Processing**_ Mr. Hy"
dun-bradstreet,Dun & Bradstreet Corporation,company,business-information-services,1,"business units.  Earlier, in senior management positions at Dun & Bradstreet and Trans World Airlines, he planned and directed the start"
interactive-intelligence,Interactive Intelligence,company,CTI-software,1,outlays necessary to increase their systems’ capacity and  interactive intelligence. Reducing and in some cases eliminating the cable operator’
