"code","label","domain","description"
"strategy-classification","Strategy Classification","observation_type","Classification of a strategic approach or positioning."
"viability-prediction","Viability Prediction","observation_type","Analyst prediction about future viability or success."
"actual-outcome","Actual Outcome","observation_type","Verified historical outcome of a prediction or situation."
"technology-assessment","Technology Assessment","observation_type","Evaluation of a technology capability, quality, or status."
"benchmark-result","Benchmark Result","observation_type","Performance benchmark measurement."
"framework-factor","Framework Factor","observation_type","Factor within an analytical framework or model."
"market-data","Market Data","observation_type","Quantitative or qualitative market information."
"expert-opinion","Expert Opinion","observation_type","Analyst or expert judgment without formal data backing."
"OLAP","Online Analytical Processing","technology-category","Multi-dimensional analytical database operations: drill-down, roll-up, slicing."
"data-mart","Data Mart","technology-category","Departmental subset of an enterprise data warehouse, typically 10-100GB in the 1990s."
"SCD","Slowly Changing Dimensions","data-warehousing","Technique for tracking historical changes to dimension data in warehouses."
"product-profile","Product Profile","study-type","Aberdeen vendor/product evaluation report."
