char_offset,trigger_labels,sentence
332,percentage_stat,"pplication integration is a major IT headache and takes up about 40% of the typical IT budget, according to recent Aberdeen research."
1751,key_finding,Here are three key findings from our research for this report:
1818,best_in_class,Best in Class firms realize the inadequacy of their present development tools and are actively investing in new composite development technology.
3497,percentage_stat,"About 15% of survey respondents left a lesson learned comment about how they underestimated or short-changed rigorous, staged project and technology planning."
10937,percentage_stat;dollar_stat,"ecent Aberdeen research has shown that application development and integration is a major IT headache, costing around 40% of the typical IT budget in a $1.3 Rtrillion global IT economy."
12703,figure_reference,"The top business driver, or pressure, pushing composite applications to the front of the development priority line is _improving service to end users_ (Figure 1)."
12927,figure_reference,Simpler integration with the technology infrastructure and a key to easier and faster platform consolidation (Figure 2).
13194,figure_reference,**Figure 1: Business Drivers for Building Composite Applications as Top Priority**
13657,figure_reference,**Figure 2: Desired Technology Outcomes from Composite Applications**
14935,percentage_stat,Only 31% of respondents identified _**building out their services architecture plans**_ as a key technology outcome their companies sought from building composite applications.
16085,best_in_class,"We will also detail how leading, that is, Best in Class, companies are facing the issue of building composite applications, and how their approaches lead them to perform better than Industry Average and Laggard companies within Aberdeen’s Competitive Framework."
16547,best_in_class,Best in Class firms realize the inadequacy of their present development tools and are actively investing in new composite development technology.
17025,dollar_stat,berdeen estimates that the average Global 1000 enterprise has produced 1.5 billion lines of program code over the past 30 years at a 2006 replacement cost of A$75 billion.
18010,figure_reference,"In Figure 3, note that higher user satisfaction and quicker business reaction rate considerably higher than improving IT or merely lowering costs."
18214,best_in_class,"**----- Start of picture text -----**<br>
60%<br>51% 52% 48% All Respondents 48%<br>50%<br>41% Best in Class<br>38%<br>40%<br>28%<br>30% 25% 24% 22%<br>20%<br>10%<br>0%<br>Higher user Quicker reaction Improved IT Lower costs Improved<br>satisfaction by the business to operations and application<br>competitive processes performance<br>pressures<br>**----- End of picture text -----**<br>"
18605,figure_reference,**Figure 3: Benefits from Developing and Deploying Composite Applications**
18723,best_in_class,"Best in Class organizations scored higher than the average in most of these five categories, which demonstrates that while they recognize the impact composite"
19155,best_in_class,Also note that Best in Class organizations have governance processes in place to focus on line-of-business user satisfaction.
19283,best_in_class,"Table 1 shows the distinctions between the Best in Class, Industry Average, and Laggard organizations in this survey."
21715,best_in_class,## **Determining the Best in Class**
21754,best_in_class;percentage_stat,"For this report, Aberdeen determined its Best in Class organizations as the best 20% of the survey population with the following quantitative and qualitative characteristics:"
22739,best_in_class;percentage_stat,"Nearly three-quarters of respondents from Best in Class organizations (71%) have the best possible experience level in building composite applications, compared with just 21% of the entire survey pool (Table 2)."
23602,best_in_class;percentage_stat,"However, Best in Class organizations are a step ahead here: Nearly two-thirds **(65%) of the Best in Class plan to buy new composite applicationbuilding technology in the next six months** , versus only 25% of other responding companies."
26364,figure_reference,"The browser is now the common denominator for delivering application functionality, and most companies represented in the Aberdeen survey are already building and delivering composite browser-based and portal applications, much more so than non browser-based applications (Figure 4)."
27887,figure_reference,**Figure 4: Percentage of Companies That Have Delivered Specific Composite Applications**
30067,figure_reference,"A second group (Figure 5) is building out an SOA infrastructure with middleware products, while the third group is using ERP vendors’ SOA middleware."
30417,figure_reference,**Figure 5: SOA Middleware Products That Companies Have or Are Planning**
30895,best_in_class,"Best in Class enterprises identified in previous studies are installing certain suites of SOA capabilities that are mandatory in the long run but can be skipped on a single project: registry/repository, enterprise service bus, security, management, and governance."
31160,percentage_stat,"Given that the objective is to reduce the 40% of IT budget spent on integration, we are confident that the early investments in entire suites of SOA management and operational capabilities will be recovered quickly, and at the lowest life-cycle costs."
37565,best_in_class;key_finding,"This supports a key finding from our recent _Legacy Application Modernization Benchmark Report_ , in which we found that **Best in Class organizations had strong enterprise-wide buy-in for SOA** ."
40232,best_in_class,"In our recent benchmark report, _Outsourcing Application Development and Maintenance,_ we found that Best in Class organizations are achieving better than a 50% ROI in outsourced application development and maintenance (However, outsourcing carries a different set of challenges and key performance measures, and requires special management skills that many firms admittedly lack, according to Aberdeen research findings)."
