LAYER A failures (by study)
==============================================================================

kastner-author/1988-encore-oltp-market-tps-needs-deee45
  obs[o88-001] observation_type='strategy-classification' not in codes.csv
  obs[o88-002] observation_type='market-data' not in codes.csv
  obs[o88-003] observation_type='market-data' not in codes.csv
  obs[o88-004] observation_type='benchmark-result' not in codes.csv
  obs[o88-005] observation_type='benchmark-result' not in codes.csv
  obs[o88-006] observation_type='strategy-classification' not in codes.csv
  obs[o88-007] observation_type='benchmark-result' not in codes.csv
  obs[o88-008] observation_type='viability-prediction' not in codes.csv
  obs[o88-009] observation_type='actual-outcome' not in codes.csv
  obs[o88-010] observation_type='market-data' not in codes.csv
  obs[o88-011] observation_type='market-data' not in codes.csv
  obs[o88-012] observation_type='market-data' not in codes.csv
  obs[o88-013] observation_type='benchmark-result' not in codes.csv
  obs[o88-014] observation_type='technology-assessment' not in codes.csv
  obs[o88-015] observation_type='viability-prediction' not in codes.csv
  obs[o88-016] observation_type='technology-assessment' not in codes.csv
  obs[o88-017] observation_type='technology-assessment' not in codes.csv
  obs[o88-018] observation_type='technology-assessment' not in codes.csv
  obs[o88-019] observation_type='benchmark-result' not in codes.csv
  obs[o88-020] observation_type='framework-factor' not in codes.csv

kastner-author/1989-vidmar-as400-hp3000-and-metadata-a32d04
  obs[o89-001] observation_type='technology-assessment' not in codes.csv
  obs[o89-002] observation_type='benchmark-result' not in codes.csv
  obs[o89-003] observation_type='benchmark-result' not in codes.csv
  obs[o89-004] observation_type='strategy-classification' not in codes.csv
  obs[o89-005] observation_type='strategy-classification' not in codes.csv
  obs[o89-006] observation_type='expert-opinion' not in codes.csv
  obs[o89-007] observation_type='technology-assessment' not in codes.csv
  obs[o89-008] observation_type='technology-assessment' not in codes.csv
  obs[o89-009] observation_type='strategy-classification' not in codes.csv
  obs[o89-010] observation_type='strategy-classification' not in codes.csv
  obs[o89-011] observation_type='technology-assessment' not in codes.csv
  obs[o89-012] observation_type='technology-assessment' not in codes.csv
  obs[o89-013] observation_type='viability-prediction' not in codes.csv
  obs[o89-014] observation_type='actual-outcome' not in codes.csv
  obs[o89-015] observation_type='actual-outcome' not in codes.csv
  obs[o89-016] observation_type='actual-outcome' not in codes.csv
  obs[o89-017] observation_type='actual-outcome' not in codes.csv
  obs[o89-018] observation_type='benchmark-result' not in codes.csv
  obs[o89-019] observation_type='technology-assessment' not in codes.csv
  obs[o89-020] observation_type='technology-assessment' not in codes.csv

kastner-author/1990-bull-rdbms-1990-and-2024-metadata-fe61bf
  obs[o90-001] observation_type='expert-opinion' not in codes.csv
  obs[o90-002] observation_type='technology-assessment' not in codes.csv
  obs[o90-003] observation_type='technology-assessment' not in codes.csv
  obs[o90-004] observation_type='strategy-classification' not in codes.csv
  obs[o90-005] observation_type='strategy-classification' not in codes.csv
  obs[o90-006] observation_type='technology-assessment' not in codes.csv
  obs[o90-007] observation_type='technology-assessment' not in codes.csv
  obs[o90-008] observation_type='technology-assessment' not in codes.csv
  obs[o90-009] observation_type='expert-opinion' not in codes.csv
  obs[o90-010] observation_type='technology-assessment' not in codes.csv
  obs[o90-011] observation_type='viability-prediction' not in codes.csv
  obs[o90-012] observation_type='actual-outcome' not in codes.csv
