code_id,code_type,label,definition
strategy-classification,observation_type,Strategy Classification,Categorization of an entity's business strategy
viability-prediction,observation_type,Viability Prediction,Expert prediction of entity's long-term survival or product success
actual-outcome,observation_type,Actual Outcome,Verified historical outcome for an entity or technology after the study date
technology-assessment,observation_type,Technology Assessment,"Evaluation of a technology's maturity, fitness, or capabilities"
benchmark-result,observation_type,Benchmark Result,Quantitative comparison against peers or market standards
framework-factor,observation_type,Framework Factor,One component of a multi-factor analytical framework
market-data,observation_type,Market Data,Quantitative or definitional market statistic or segment characterization
expert-opinion,observation_type,Expert Opinion,Qualitative professional judgment rendered by the study author
industry-analysis,methodology,Industry Analysis,Systematic analysis of industry structure and dynamics
competitive-analysis,methodology,Competitive Analysis,"Detailed comparison of competing entities, products, or strategies"
benchmarking,methodology,Benchmarking,Comparison against industry standards or peers
field-research,methodology,Field Research,Primary data collection via interviews or surveys
document-review,methodology,Document Review,"Analysis of existing documents, specifications, and records"
statistical-analysis,methodology,Statistical Analysis,Quantitative data analysis with statistical methods
product-profiling,methodology,Product Profiling,"Detailed evaluation of a single product's features, architecture, and market positioning"
technology-assessment,methodology,Technology Assessment,"Structured evaluation of a technology's readiness, maturity, and suitability for enterprise use"
expert-opinion,methodology,Expert Opinion,Qualitative analytical judgment by a domain expert without formal quantitative data collection
high,confidence,High Confidence,Strong evidentiary basis; directly stated in source document or verified by independent sources
medium,confidence,Medium Confidence,Reasonable basis but limited corroboration; analytical judgment by author
low,confidence,Low Confidence,Directional judgment with limited evidence
verified,confidence,Verified,Confirmed by subsequent events or independent historical sources
emerging,lifecycle,Emerging,Technology or product recently introduced; early adoption phase
mature,lifecycle,Mature,Technology widely deployed and stable; past peak growth
declining,lifecycle,Declining,Technology losing market share or approaching end of mainstream support
obsolete,lifecycle,Obsolete,Technology no longer actively maintained or deployed in new systems
legacy-supported,lifecycle,Legacy Supported,Technology maintained for backward compatibility but not recommended for new deployments
active,lifecycle,Active,Technology currently in mainstream use and active development
