"entity_id","study_id"
"3com","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"3com","aberdeen-1995-3com-lanplex-2500"
"3com","aberdeen-1997-3com-accelerates-remote-access-market"
"3com","aberdeen-1997-aberdeen-group-impacts"
"3com-corporation","networ~1-96462b"
"aberdeen-group","aberdeen-1996-3com-reconciling-clientserver-development-internet"
"aberdeen-group","aberdeen-1996-advanced-planning-engines-white-paper"
"aberdeen-group","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"aberdeen-group","aberdeen-1996-as400-year-2000-ibm-leading-users"
"american-software","aberdeen-1996-advanced-planning-engines-white-paper"
"att-gis","aberdeen-1995-rdbms-cray-research-inc"
"CRAY-BSD","aberdeen-1995-rdbms-cray-research-inc"
"cray-research","aberdeen-1995-rdbms-cray-research-inc"
"DB-SOFTWARE","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"dec","dec-mgmt-memo-v7n5-state-of-company-1988-6a9954"
"dec","dtj-v03-01-tp-and-fault-tolerant-1991-cf078c"
"dec","on-computers-tips-40th-anniversary-of-th-ee9cc5"
"ENT-ADM","aberdeen-1995-upgrading-isv-methodology-enterprise-application-development"
"ENT-ANON-001","1997-nt-case-41-56aa2e"
"ENT-BO-001","1997-dev-expanding-universes-for-busines-c42c71"
"ENT-BO-002","1997-dev-expanding-universes-for-busines-c42c71"
"ENT-BO-003","1997-dev-expanding-universes-for-busines-c42c71"
"ENT-CA","aberdeen-1995-novell-predicament"
"ENT-CA-INGRES","aberdeen-1995-universal-servers-rdbms-technology-next-decade"
"ENT-CISCO-001","1997-nortel--transforming-business-by-po-3edae6"
"ENT-DR-001","1997-datareach--finding-business-value-i-34f0a6"
"ENT-DR-002","1997-datareach--finding-business-value-i-34f0a6"
"ent-dr-003","1997-datareach--finding-business-value-i-34f0a6"
"ent-dyf-001","1997-dynaflo-systems----e-mail-for-the-b-854582"
"ENT-DYF-003","1997-dynaflo-systems----e-mail-for-the-b-854582"
"ENT-DYS-001","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"ENT-DYS-003","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"ENT-DYS-005","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"ENT-DYS-006","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
"ENT-DYS-007","1997-dynasoft's-boks-family--a-pragmatic-e6df7d"
