"code_id","code_type","label","definition"
"analyst-judgment","observation_type","Analyst Judgment","Qualitative assessment based on analyst expertise and market observation"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"archival-inventory","methodology","Archival inventory","Counts or classifications computed from prior archive inventory tables."
"attribution-audit","methodology","Attribution audit","Explicit accounting for author/source attribution buckets."
"benchmarking","methodology_code","Benchmarking","Systematic measurement and comparison of performance using standardized test specifications with full-disclosure reporting"
"competitive-profiling","methodology_code","Competitive Profiling","Structured analysis of specific vendor strategies, product positioning, and competitive strengths and weaknesses"
"coverage-analysis","observation_type","Coverage analysis","Observation documenting evidence coverage."
"document-review","methodology_code","Document Review","Assessment based on review of published documentation such as vendor support policies and threat databases"
"evidence-example","observation_type","Evidence example","Pointer to an exemplar source observation from the inventory."
"external-verification","methodology","External verification","Outcome endpoint validated against public web sources."
"industry-analysis","methodology_code","Industry Analysis","Qualitative and quantitative assessment of industry trends, competitive dynamics, and market conditions using publicly available information"
"longitudinal-analysis","methodology","Longitudinal analysis","Multi-period interpretation across technology and corporate lifecycle phases."
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"methodology-note","observation_type","Methodology note","Observation documenting rules or method constraints."
"prediction-outcome-analysis","methodology","Prediction outcome analysis","Assessment of earlier strategic claims against later outcomes."
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"technology-lifecycle","observation_type","Technology lifecycle","Observation documenting lifecycle state of a technology."
"technology-lifecycle-analysis","methodology","Technology lifecycle analysis","Classification of technology lifecycle state across eras."
"thread-density","observation_type","Thread density","Observation documenting frequency of evidence in a thematic thread."
"topic-insight","observation_type","Topic Insight","An analytical claim or framework point within a technology topic deep-dive"
"vendor","methodology","Vendor-Provided","Data provided by the vendor (Dell) including pricing, service specifications, and program details"
"vendor-briefing","observation_type","Vendor Briefing","Data derived from vendor-provided briefings and documentation"
"vendor-claim","methodology_code","Vendor Claim","Claim made by IBM or Lotus in product documentation or briefings"
