"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of an entity's business strategy"
"viability-prediction","observation_type","Viability Prediction","Expert prediction of entity's or technology's long-term survival or market trajectory"
"actual-outcome","observation_type","Actual Outcome","Verified historical outcome for an entity or technology prediction"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's maturity, capabilities, or fitness for purpose"
"benchmark-result","observation_type","Benchmark Result","Quantitative comparison against peers, standards, or prior generation"
"framework-factor","observation_type","Framework Factor","One component of a multi-factor analytical framework used in the study"
"market-data","observation_type","Market Data","Quantitative market statistic such as market share, revenue, or adoption rate"
"expert-opinion","observation_type","Expert Opinion","Qualitative professional judgment by study authors or cited experts"
"industry-analysis","methodology","Industry Analysis","Systematic analysis of industry structure, dynamics, and competitive forces"
"competitive-profiling","methodology","Competitive Profiling","Detailed comparison and characterization of competing entities or products"
"benchmarking","methodology","Benchmarking","Comparison of performance or capabilities against industry standards or peers"
"field-research","methodology","Field Research","Primary data collection via customer interviews, surveys, or field trials"
"document-review","methodology","Document Review","Analysis of existing documents, records, and published sources"
"expert-opinion","methodology","Expert Opinion (method)","Analytical judgments based on subject-matter expertise without formal data collection"
"high","confidence","High Confidence","Strong evidentiary basis; multiple corroborating sources or direct measurement"
"medium","confidence","Medium Confidence","Reasonable basis but limited corroboration; directional with some evidence"
"low","confidence","Low Confidence","Directional judgment with limited evidence; speculative"
"verified","confidence","Verified","Confirmed by subsequent events, independent sources, or web search verification"
"emerging","lifecycle","Emerging","Technology newly introduced; adoption curve in early phase"
"mature","lifecycle","Mature","Technology fully developed with established market and widespread adoption"
"declining","lifecycle","Declining","Technology past peak adoption; losing market share to successors"
"obsolete","lifecycle","Obsolete","Technology no longer in active use; superseded by successors"
"legacy-supported","lifecycle","Legacy Supported","Technology still maintained for existing users but no longer actively developed or sold"
"active","lifecycle","Active","Technology currently in active development, sale, and use"
