"query","candidate_slug","surfaced_by","max_sim","relevant"
"What did Aberdeen Group predict about client-server computing in the 1990s?","client-server","incumbent","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-aberdeen-trends-90s-logan-1991-648c68","both","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-aberdeen-1996-moving-effectively-next-gen-client-server","incumbent","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-nti-12-client-server-goals-1993-15a519","both","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","client-server-1992","both","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","t90-05","incumbent","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","quote-946","candidate","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","study-aberdeen-snr-architecture-three-tier-sli-abaaa5","candidate","",""
"What did Aberdeen Group predict about client-server computing in the 1990s?","client-server-computing","candidate","",""
"Which technologies were forecast to disrupt relational databases?","tech-rdbms","both","",""
"Which technologies were forecast to disrupt relational databases?","commercial-rdbms","incumbent","",""
"Which technologies were forecast to disrupt relational databases?","relational-database","both","",""
"Which technologies were forecast to disrupt relational databases?","ordbms","incumbent","",""
"Which technologies were forecast to disrupt relational databases?","relational-database-management-systems","incumbent","",""
"Which technologies were forecast to disrupt relational databases?","digital-rdb","incumbent","",""
"Which technologies were forecast to disrupt relational databases?","relational-database-1996","candidate","",""
"Which technologies were forecast to disrupt relational databases?","databases-rdbms","candidate","",""
"Which technologies were forecast to disrupt relational databases?","tech-o2-004","candidate","",""
"Which technologies were forecast to disrupt relational databases?","study-aberdeen-1996-distributed-open-rdbms-buying-guide","candidate","",""
"What was said about Digital Equipment Corporation's market position?","e3-07","both","",""
"What was said about Digital Equipment Corporation's market position?","enc-05","both","",""
"What was said about Digital Equipment Corporation's market position?","dec-digital-equipment","both","",""
"What was said about Digital Equipment Corporation's market position?","e1-05","both","",""
"What was said about Digital Equipment Corporation's market position?","e2-05","incumbent","",""
"What was said about Digital Equipment Corporation's market position?","digital-equipment","incumbent","",""
"What was said about Digital Equipment Corporation's market position?","ent-s2-001","candidate","",""
"What was said about Digital Equipment Corporation's market position?","quote-929","candidate","",""
"How did analysts view Oracle's pricing strategy?","quote-92","both","",""
"How did analysts view Oracle's pricing strategy?","oracle-corp","incumbent","",""
"How did analysts view Oracle's pricing strategy?","oracle-sun-sparc","incumbent","",""
"How did analysts view Oracle's pricing strategy?","oracle-corporation","incumbent","",""
"How did analysts view Oracle's pricing strategy?","quote-913","both","",""
"How did analysts view Oracle's pricing strategy?","e90-05","incumbent","",""
"How did analysts view Oracle's pricing strategy?","quote-995","candidate","",""
"How did analysts view Oracle's pricing strategy?","quote-985","candidate","",""
"How did analysts view Oracle's pricing strategy?","quote-720","candidate","",""
"How did analysts view Oracle's pricing strategy?","study-2002-a-kinder-gentler-larry-ellison-oracle-presents-new-cb69fb","candidate","",""
"What predictions were made about the shift to web-based enterprise software?","open-source-software","incumbent","",""
"What predictions were made about the shift to web-based enterprise software?","internet","incumbent","",""
"What predictions were made about the shift to web-based enterprise software?","digital-unix-tru64","incumbent","",""
"What predictions were made about the shift to web-based enterprise software?","internet-commerce-platform","incumbent","",""
"What predictions were made about the shift to web-based enterprise software?","enterprise-software","both","",""
"What predictions were made about the shift to web-based enterprise software?","enterprise-soa","incumbent","",""
"What predictions were made about the shift to web-based enterprise software?","quote-18","candidate","",""
"What predictions were made about the shift to web-based enterprise software?","web-conferencing","candidate","",""
"What predictions were made about the shift to web-based enterprise software?","quote-872","candidate","",""
"What predictions were made about the shift to web-based enterprise software?","study-tool-vendors-neglect-intranet-computing-97bde3","candidate","",""
"What predictions were made about the shift to web-based enterprise software?","quote-720","candidate","",""
"Which vendors were expected to lose share to open-source software?","open-source-software","incumbent","",""
