"code_id","code_type","code_value","description","study_id"
"OT-SC","observation_type","strategy-classification","Classification of vendor strategic position or decision","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"OT-VP","observation_type","viability-prediction","Forward-looking prediction about commercial viability","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"OT-AO","observation_type","actual-outcome","Verified real-world outcome via external research","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"OT-TA","observation_type","technology-assessment","Technical evaluation of capabilities or positioning","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"OT-MD","observation_type","market-data","Quantitative market metric (revenue"," install base)","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"OT-EO","observation_type","expert-opinion","Qualitative analyst recommendation or opinion","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"CONF-HIGH","confidence","high","Multiple corroborating sources or vendor data","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"CONF-MED","confidence","medium","Single source or inferred from context","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"METH-ES","methodology_code","expert-survey","Aberdeen analyst field survey and expert interviews","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"METH-EO","methodology_code","expert-opinion","Analyst opinion without formal survey methodology","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"METH-VC","methodology_code","vendor-claim","Specification or assertion provided by vendor","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
"METH-WR","methodology_code","web-research","Post-publication verification via web research","aberdeen-1996-app-dun-bradstreet-software-smartstrtogether-better"
