filename,page,sha1,size_bytes,labels_on_page
figure_001.png,4,0128c9868ea57757e4660d7b3bdb69b998125b8d,216619,1;2;3;4;5;6;7;8
figure_002.png,5,30002a1275bbcd25622a5f1e51d8c543c4435fdd,102307,1;2;3;4;5;6
figure_003.png,7,5feedfdb29a5199da836e0aea8c95b88aa45dea3,158910,1
figure_004.png,8,38d55d35569ed90af2e2facd03b59d7bd606751c,106682,2
figure_005.png,9,4d98377956e626290619b036c7a97714946f0ac8,238252,1
figure_006.png,10,76542fb9764149095a8d8d866340705faa039ca4,300740,2
figure_007.png,12,f8b912c6fae863a46584f6f9937d06e41947700e,170902,3
figure_008.png,13,3275cdb99b950f4ec14c3feeeb901d7f47d0f2a9,247818,3
figure_009.png,14,94ea5cc16fd132141f26d755b7012cd5caccb85a,174453,4
figure_010.png,15,66a782d63ddda5bebebfd1b4c89ca6cbcbdf04ef,153950,5
figure_011.png,16,c66f7cfc2853e88b1b9b2ae8a2032251e656658e,158404,6
figure_012.png,18,0e99ef9e0e9350dca7899cad684fa8c275e2cecf,194198,7
figure_013.png,19,2baa9b1cf905f2037bc75c2e75298091913e8ce3,158903,8
figure_014.png,23,4ac677c1f6eb2d67716746932d93865d8ad5f54a,190155,4
figure_015.png,24,c58849e97ea7a06955ec27d499b8beba2aac2787,245961,5;6
