char_offset,trigger_labels,sentence
568,best_in_class,## **Best in Class**
591,best_in_class,Best in Class organizations succeed at outsourcing IT functions in two ways: by devoting as much management time and effort to their relationships with third-party providers and by not being timid in going to the providers when service levels fall short of expectations.
1053,percentage_stat,One startling statistic that came out of Aberdeen’s recent √ Get the RFP right. survey for _The Business Value of IT_ √ Don’t be afraid to look outside for help. _Outsourcing Benchmark Report_ : Fully √ Improve relationship management. 25% of mid-market respondents admitted their companies have not been successful
1392,best_in_class,None of the Best in Class cited a lack of success.
1443,best_in_class;figure_reference,Figure 1 shows four stages of the IT outsourcing process that highlight gaps between mid-size and Best in Class enterprises.
1570,figure_reference,"**Figure 1: Stages Prone to Costly, yet Avoidable, Planning Errors**"
1696,best_in_class,"**----- Start of picture text -----**<br>
30%<br>Ongoing operational management<br>5%<br>23%<br>Governance<br>11%<br>27%<br>Contract pricing negotiations<br>11%<br>33%<br>Creation of quantitative business case<br>26%<br>0% 5% 10% 15% 20% 25% 30% 35%<br>Best in Class Mid-Market Percent of Respondents<br>**----- End of picture text -----**<br>"
2763,best_in_class;figure_reference,Figure 2 highlights the differences in how mid-size and Best in Class companies overcome outsourcing challenges.
3044,figure_reference,**Figure 2: How Companies Overcome Challenges to IT Outsourcing**
4617,best_in_class,**Don’t be afraid to look outside for help.** Most Best in Class companies rely on independent consulting firms.
4730,best_in_class,"Many of the Best in Class, more so than mid-size enterprises represented in our survey, bank on specialized outside help, such as legal assistance, before executing a contract."
5520,best_in_class,**Improve relationship management.** Most of the Best in Class devoted more management time and effort to nurturing and improving relationships with outsourcers.
