"rank","study_id","title","date","author","theme","decade","predict_yr","per_study_net_b_usd","theme_net_b_usd","theme_attr_pct","theme_n_studies","prescience_rationale"
"1","2002-second-generation-pdas-it-s-high-time-for-wireless-c6563f","Second-Generation PDAs: It's High Time for Wireless","2002-03-25","Isaac Ro","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","The prediction that 2002 would mark the transition to integrated wireless enterprise PDAs proved correct: the Handspring Treo and BlackBerry accelerated this shift. Palm was acquired by HP in 2010; the smartphone paradigm Aberdeen anticipated became universal by 2007-2010."
"2","2002-webex--taking-conferencing-to-the-summit-05f195","WebEx: Taking Conferencing to the Business Communications Summit","2002-04-01","Aberdeen Group","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","The 'tectonic shift' prediction from face-to-face to web conferencing proved spectacularly correct, permanently accelerated by COVID-19 in 2020; WebEx's market leadership sustained through the $3.2B Cisco acquisition in 2007; virtually every claim about the direction of business communications prove"
"3","amd-fusion-outlook-newsfactor-garrett-5859d3","The Outlook on AMD's Fusion Plans","2006-10-27","David Garrett, NewsFactor","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Kastner's one-chip-computer framing directly predicted the APU era: AMD Llano (2011), Intel Sandy Bridge with iGPU (2011), Apple A-series (iPhone SoCs), Apple M1 (2020), and mobile Snapdragon/Exynos all integrate CPU+GPU on one die. The 'fewer chips on the motherboard' cost argument became the domin"
"4","dbmspr~1-7c854e","Data Management: 1998 Practice Summary","1998-05-01","Aberdeen Group","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Aberdeen's Oracle/Unix dominance prediction proved accurate; SQL Server 7.0 enterprise push prediction proved accurate; commoditization forecast proved correct; ORDBMS dominance over pure ODBMS proved correct; mobile/embedded DBMS growth as niche proved accurate."
"5","dct-hp-compaq-pcs-insight-2001-09","Integrating HP and Compaq: Success Must Stem from the PC Business","2001-09-17","Peter S. Kastner","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Kastner predicted (correctly) that HP would retain the PC business and combine at #1 global share; Fiorina's consumer-IT strategy, iPaq market leadership, and Windows-PDA displacement of Palm all materialized by 2003-2005."
"6","dct-segment-priorities-matrix-2003","DCT Segment Priorities Matrix (Home / Work / Mobile)","2002-11-01","Peter S. Kastner","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Kastner's 2.2→3.6 GHz desktop CPU call in 18 months was directionally correct (mainstream P4 reached 3.6 GHz by 2004); WiFi usability + Pentium 4 laptop inflection both materialized in 2003."
"7","dct-sony-personal-electronic-vision-2002","Personal Electronic Technology Vision — Sony Client Presentation","2002-04-01","Peter S. Kastner","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Predicted convergence of phone/answering/VOIP, wireless MP3, pocket PC, telematics (GPS+cellular+WiFi) + drive-by WiFi location services -- all realized via smartphone/connected-car."
"8","dct-webinar-announcement-2002-11","Digital Consumer Technology: The Revolution Has Started — Aberdeen Webinar","2002-11-01","Peter S. Kastner","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Mobile convergence devices (smartphones), home media servers (cloud streaming), and home networking (mesh WiFi) all became mainstream as predicted."
"9","ect-news-whatever-happened-interactive-t-7446fd","Whatever Happened to Interactive TV?","2002-06-25","Lou Hirsh","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Both Kastner predictions validated: (1) ITV functions are now built into virtually all TVs sold (Smart TV penetration >80% by 2020); (2) interactive gaming did not require a TV and shifted to consoles/PCs/mobile (Xbox, PlayStation, Switch, smartphone gaming). Standalone set-top ITV (WebTV/MSN-TV/AOL"
"10","mac-news-enterprise-systems-apple-s-ente-59fab0","Apple's Enterprise IT Battle Plan, Part Two","2004-05-24","Elizabeth Millard (reporter, MacNewsWorld); Peter Kastner (quoted source)","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Kastner's SMB-first prediction and 'specialized verticals' thesis tracked with reality: Apple exited Xserve (2011) and large-enterprise server plays, but iPhone/iPad drove SMB and vertical (healthcare, retail, logistics) adoption that ultimately delivered enterprise relevance."
"11","mobile-banking-may-render-cash-obsolete--e4b699","The Digital Wallet: Mobile Banking May Render Credit Cards and Cash Obsolete","2009-04-29","Hiawatha Bray (Boston Globe)","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Predicted trajectory — phones replace cash/cards via NFC — was fully realized with Apple Pay (2014) and subsequent scheme adoption."
"12","sd-cards-overtake-memory-stick-12-may-20-81d89c","SD cards overtake Memory Stick","2003-05-12","Robert Jaques, vnunet.com / Computing.co.uk","Mobile / Smartphone Computing","2010s","2001","237.71","2852.5","0.320","12","Kastner's miniSD / next-generation-cellphones prediction was largely correct — though superseded by microSD (introduced 2005) rather than miniSD, the underlying thesis that small SD variants would power the mobile phone market was fully validated. SD defeated Memory Stick globally."
"13","2002-alternate-consumer-electronics-channels-ppliers-em-b9052b","Alternate Consumer Electronics Channels and Suppliers Emerge, Threatening Incumbents","2002-07-11","Russ Craig","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","The prediction that S&C providers would threaten traditional CE incumbents proved accurate: Circuit City went bankrupt in 2008, Best Buy survived only through transformation, while cable/telco hardware bundling and streaming device ecosystems (Roku, Fire TV) became dominant CE distribution channels."
"14","cuna-win-rebate-runaround-2004-9da530","Win the Rebate Runaround","2004-04-19","Jan Garkey","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's framing — that rebates' economic structure relies on consumer drop-off — was vindicated by FTC actions against Philips, CompUSA, Office Depot and the near-disappearance of mail-in consumer-electronics rebates by the late 2010s."
"15","dct-webinar-nov-2002","Digital Consumer Technology: The Revolution Has Started — Aberdeen DCT Webinar Deck","2002-11-01","Russ Craig, Peter S. Kastner, Isaac Ro","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Predicted PC makers competing with phone makers, handset life-cycle compression via contract manufacturing, 3G 3+ years out (true — US 3G rollout peaked 2005-2006), MMS and gaming as 'What's Hot' drivers, media-server consolidation replacing disk duplication, and 5 GHz becoming spectrum of choice — "
"16","great-rebate-debate-smartmoney-grant-80650c","The Great Rebate Debate","2006-04-17","Kelli B. Grant, SmartMoney","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's 60% breakage framing helped drive the industry transformation he effectively predicted: Staples' Easy Rebates (2005) expanded to online-only by 2008; Best Buy moved to instant-rebate checkout 2006-2008; mail-in rebates collapsed from $10B (2002) to ~$3B (2010) to <$500M (2020s). FTC enforc"
"17","great-rebate-runaround-businessweek-grow-00f459","The Great Rebate Runaround","2005-12-05","Brian Grow (with Rishi Chhatwal), BusinessWeek","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","The article accurately predicted regulatory intervention (CA SB reintroduced, FTC rebate-advertising rules 2007, state AG enforcement) and retailer retreat from mail-in rebates. Best Buy's 2008 elimination of mail-in rebates, Staples' EasyRebates online system, and the collapse of the TCA/Parago/You"
"18","iha-full-report---draft-jul-28-41de81","Consumer Adoption of Memory Cards: A Qualitative Study","2003-07-28","Peter S. Kastner","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Correctly identified decade-long transition timeline to digital electronics; accurately predicted SD card would need broad ecosystem compatibility to win; foresaw wireless data transfer as ultimate goal; correctly identified pricing pressure and 'wait and see' consumer behavior."
"19","palm-boulevard-news-sd-memory-cards-to-d-aca4c9","SD Memory Cards to Drive Market for Digital Content","2003-10-28","Palm Boulevard / PDAStreet (internet.com)","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner was right: SD cards became the dominant removable flash format; Memory Stick and SmartMedia were eliminated, MMC displaced, CompactFlash relegated to pro photography and supplanted by CFexpress."
"20","rebate-check-recordonline-van-vlack-d7d600","The (rebate) check is in the mail – or is it?","2003-04-27","Jon Van Vlack, Times Herald-Record","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's 60% breakage rate held up: BusinessWeek 2005 cited 40% (Kastner at Vericours); SmartMoney 2006 cited 40% don't file + 20% bungle (Kastner at Aberdeen). FTC enforcement increased 2005-2008; easy-rebate programs emerged; mail-in rebates largely collapsed post-2010."
"21","respiratory-illness-could-restrict-i.t.--c3c523","Respiratory Illness Could Restrict I.T. Supply Lines","2003-04-07","Gregg Keizer, Techweb News, with Eric Chabrow and Marianne Kolbasuk McGee (InformationWeek)","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's warning proved directly prescient in the COVID-19 pandemic (2020-2022), when Chinese factory shutdowns caused exactly the kind of power-supply, semiconductor, and finished-PC shortages he described — affecting Dell, HP, Apple, and the broader industry."
"22","restructure-plans-weigh-on-gateway-marke-c5656c","Restructure plans weigh on Gateway","2003-01-06","Rex Crum, CBS.MarketWatch.com","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's 'whole business model on the boardroom table' framing proved prescient: Gateway's 2003 strategic pivot into consumer electronics failed within ~18 months, the retail stores closed in 2004, and Acer acquired the remnants in 2007."
"23","sars-high-tech-monday-update-monday-apri-ac0cb5","High Tech Monday Update: SARS and the Tech Stock Rally","2003-04-07","Thomson Financial Corporate Group (via PR Newswire)","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's 'schedule slippages / supply-chain disruption / another downdraft' framing directly anticipated the COVID-era impact on tech supply chains, where lockdowns in Guangdong, Taiwan, and Malaysia caused cascading shortages of power supplies, semiconductors, and finished PCs."
"24","sars-puts-an-end-to-business-as-usual-in-6b0471","SARS Puts an End to Business as Usual in Asia","2003-04-03","Sumner Lemon, IDG News Service (Computerworld Australia)","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner and Craig's note that 'the deceit of the PRC government ... will not be quickly forgotten' and 'a new level of suspicion by investors ... will take years to dispel' proved strikingly accurate after COVID-19 (2020), when investor and government trust in China supply-chain concentration plumme"
"25","sars-wirft-schatten-uber-elektronische-b-bf33b6","SARS wirft Schatten über elektronische Beschaffungskette","2003-04-08","Robert Ristelhueber, EBN (EE Times Europe / Germany)","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's advice to 'think the unimaginable' — specifically asking where power supplies come from if China shipping shuts down — was exactly the scenario that played out in 2020-2022 (COVID-era Shenzhen and Dongguan lockdowns and the 2021 Suez Canal blockage)."
"26","sd-memory-cards-to-drive-market-for-digi-71a434","SD Memory Cards to Drive Market for Digital Content","2003-10-28","Dan Muse, PDAStreet / internet.com","Digital Consumer Technology / Globalized Supply Chain","2000s","2002","108.59","1520.2","0.320","14","Kastner's thesis that SD would remain the dominant storage medium proved correct; the card survived every format war (Memory Stick, CompactFlash for prosumers, xD, M2, HVD). The digital-content-via-physical-media model shifted to streaming but local portable storage remains an SD/microSD story."
"27","1996-sequent-38f0b1","Emerging Technologies: Assessing Strategic Benefits","1996-05-01","Peter S. Kastner","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Predicted that NUMA-Q would extend Intel-standard computing beyond mainframes while preserving software investments; this vision was validated as x86 NUMA servers replaced proprietary mainframes."
"28","1997-ibm-ships-first-64-bit-rs-6000-serv-961e2c","IBM Ships First 64-bit RS/6000 Server","1997-10-06","Tom Willmott / Aberdeen Group","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Aberdeen's prior prediction of a Spring 1997 roll-out of SMP servers based on PowerPC 604e chip proved correct (RS/6000 F50 in May 1997). Aberdeen's framing of a two-phase 1997 product announcement — 604e SMP first, then 64-bit high-end — proved accurate. The prediction that IBM's Unix position and "
"29","aberdeen-1996-mainframe-revival-short-lived-or-long-term","The Mainframe Revival: Short Lived or Long Term?","1996-01-01","Aberdeen Group","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Aberdeen's implicit prediction that the mainframe revival was long-term proved overwhelmingly correct: IBM's mainframe line evolved through z/Series (2000), System z (2006), and IBM Z (2017), maintaining its position as the dominant platform for high-volume transaction processing and still generatin"
"30","aberdeen-dops-tpc-1992-deck-bbe78e","Aberdeen Group — DOPS and TPC-A/TPC-B benchmark results (1992 deck)","1992-02-01","Peter S. Kastner (Aberdeen Group)","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Correctly predicted that distributed heterogeneous systems would require multi-dimensional performance metrics — validated by TPC-C (1992) and later TPC-E, TPC-DS incorporating multi-database, multi-tier architectures."
"31","aberdeen-press-advisory-kastner-appointm-efd58c","Aberdeen Group Press Advisory and News Release: Aberdeen Group Picks Industry Veteran Peter S. Kastner to Head New Transaction Services Business Unit","1988-12-05","Aberdeen Group, Inc. (Charles T. Casale, contact)","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Casale's claim that Kastner 'was the first analyst to predict the emergence of transaction processing at the workgroup level' proved correct — workgroup OLTP (client-server) did shake up the established TP vendors throughout 1989-1995."
"32","computerworld-stratus-xa2000-launch-1987-d9d143","Computerworld: Stratus Readies XA2000 Series to Take on Tandem High-End — Pete Kastner on Floating-Point + Yankee Group's Henkel on VLX/3090 Class (February 1987)","1987-02","James Connolly (Computerworld staff)","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","Foster's 'insatiable appetite for tps' framing + 45%/yr OLTP growth assumption proved directionally correct for the late 1980s and 1990s. The XA2000's modular on-line CPU expansion + scaling up to 64 MB / 128 MB virtual / 46 GB disk anticipated modern hyperscale linear-scale architectures."
"33","computerworld-ilm-waiting-2004","Waiting for ILM?","2004-07-29","Peter S. Kastner","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","The 6-step ILM recipe proved exactly right and was adopted industry-wide. The prediction of cross-application ILM software maturity circa 2008-2010 was accurate — EMC, NetApp, and HP all shipped mature automated tiering by 2009-2011. The 80% reduction in storage-related production hours was achieved"
"34","dtj-v03-01-tp-and-fault-tolerant-1991-cf078c","Digital Technical Journal — Transaction Processing, Databases, and Fault-tolerant Systems (Volume 3, Number 1, Winter 1991)","1991-01-01","Digital Equipment Corporation","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","DECtp's open-standards alignment (X/Open DTP, OSI-TP, POSIX) and client/server model accurately anticipated the dominant paradigm; predicted convergence of ACMS and DECintact proved correct; VAXft fault-tolerant architecture foreshadowed modern high-availability designs., employer_id=DEC, kastner_ro"
"35","dec-debit-credit-guidelines-kohler-hsu-1-e228b4","DEC Proposed Debit-Credit Benchmark Guidelines (Kohler/Hsu, Dec 1987)","1987-12-21","Walt Kohler & Yun-Ping Hsu, DEC HPS/OLTP Systems Performance Analysis Group","OLTP / TPC-Benchmarked Transaction Processing","1990s","1985","57.79","924.6","0.500","16","The eleven-component decomposition (response time, database size, transaction mix verification, etc.) anticipates TPC-A's structure released August 1989. The concerns about ambiguous specs, partition tricks, and vendor interpretations directly motivated the formal TPC standardization effort."
