"code_id","code_type","label","definition"
"vendor-briefing","observation_type","Vendor Briefing","Data derived from vendor-provided briefings and documentation"
"product-evaluation","observation_type","Product Evaluation","Analysis based on product feature assessment by Aberdeen analysts"
"user-interviews","methodology","User Interviews","Interviews with IS buyers and users conducted by Aberdeen analysts"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"field-research","methodology_code","Field Research","Primary research conducted through direct interaction with products, services, or market participants in real-world settings"
"competitive-analysis","observation_type","Competitive Analysis","Assessment of competitive positioning between entities"
"public-record","methodology","Public Record","Fact verified from public records, press releases, or historical sources"
"historical-record","methodology","Historical Record","Outcome verified through historical public records, acquisitions, product launches, or market events."
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"benchmark-result","observation_type","Benchmark Result","Quantitative or time-based measurement from testing; a specific metric value obtained through direct measurement or structured evaluation"
"framework-factor","observation_type","Framework Factor","A component or variable within an analytical framework or model used to structure the analysis; a dimension of a multi-factor evaluation scheme"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"strategy-classification","observation_type","Strategy Classification","Categorization of organizational approach within the Aberdeen Competitive Framework tiers (Laggard, Industry Norm, Best in Class)"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
