"code","label","description","category"
"strategy-classification","Strategy Classification","Classification of an entity's strategic approach or positioning","observation_type"
"viability-prediction","Viability Prediction","Prediction about an entity's or technology's future viability or survival","observation_type"
"actual-outcome","Actual Outcome","Documented actual outcome post-publication verified via research","observation_type"
"technology-assessment","Technology Assessment","Assessment of a technology's capabilities"," limitations"," or characteristics","observation_type"
"benchmark-result","Benchmark Result","Quantitative or qualitative performance benchmark result","observation_type"
"framework-factor","Framework Factor","A factor within an analytical framework","observation_type"
"market-data","Market Data","Market size"," share"," or trend data point","observation_type"
"expert-opinion","Expert Opinion","Analyst or expert subjective opinion or recommendation","observation_type"
"high","High Confidence","High confidence in the data point (primary source"," IS-reported"," verified)","confidence_level"
"medium","Medium Confidence","Medium confidence (analyst inference"," secondary source)","confidence_level"
"low","Low Confidence","Low confidence (speculative"," unverified)","confidence_level"
"ANALYST-JUDGMENT","Analyst Judgment","Methodology: Aberdeen Group analyst assessment","methodology_code"
"IS-REPORTED","IS Reported","Methodology: Data reported by IS staff in on-site interviews","methodology_code"
"COMPANY-REPORTED","Company Reported","Methodology: Data reported by company management","methodology_code"
"VERIFIED","Verified","Methodology: Verified via post-publication research","methodology_code"
