"code_id","code_type","label","definition"
"product-profile","study_type","Product Profile","A detailed evaluation of a specific vendor's product, including features, competitive positioning, and buying recommendations"
"distributed-object-computing","domain","Distributed Object Computing","Technology domain covering object request brokers and distributed computing middleware"
"industry-analysis","methodology_code","Industry Analysis","Qualitative and quantitative assessment of industry trends, competitive dynamics, and market conditions using publicly available information"
"competitive-profiling","methodology_code","Competitive Profiling","Structured analysis of specific vendor strategies, product positioning, and competitive strengths and weaknesses"
"field-research","methodology_code","Field Research","Primary research conducted through direct interaction with products, services, or market participants in real-world settings"
"vendor","methodology","Vendor-Provided","Data provided by the vendor (Dell) including pricing, service specifications, and program details"
"standards-body","entity_type","Standards Body","Industry consortium or organization developing technical standards"
"si-partner","entity_type","Systems Integrator / Partner","Professional services or systems integration firm"
"research-firm","entity_type","Research Firm","Industry analyst and research organization"
"acquired","entity_status","Acquired","Entity acquired by another company; brand may no longer exist independently"
"active","lifecycle","Active","Technology is currently actively maintained, developed, and commercially available"
"merged","entity_status","Merged","Organization merged with one or more entities to form new entity"
"obsolete","lifecycle","Obsolete","Technology no longer in active use or commercial support; superseded by successor technologies"
"legacy","lifecycle_status","Legacy","Product no longer actively marketed but may still receive limited support"
"evolved","current_status","Evolved","Technology has transformed into or been succeeded by modern equivalent"
"niche","tech_lifecycle","Niche","Technology persists in specialized or niche markets"
"digital-unix","platform","Digital UNIX","Digital's Unix operating system for Alpha hardware"
"ultrix","platform","ULTRIX","Digital's older Unix variant for VAX hardware"
"openvms-alpha","platform","OpenVMS Alpha","Digital's OpenVMS on Alpha architecture"
"openvms-vax","platform","OpenVMS VAX","Digital's OpenVMS on VAX architecture"
"windows-31","platform","Windows 3.1","Microsoft Windows 3.1 on Intel"
"windows-nt-intel","platform","Windows NT Intel","Microsoft Windows NT on Intel architecture"
"windows-nt-alpha","platform","Windows NT Alpha","Microsoft Windows NT on Alpha architecture"
"hp-ux","platform","HP-UX","Hewlett-Packard Unix"
"aix","platform","AIX","IBM AIX Unix"
"os2","platform","OS/2","IBM OS/2"
"sunos","platform","SunOS","Sun Microsystems SunOS Unix"
"solaris","platform","Solaris","Sun Microsystems Solaris Unix"
"mac-system7","platform","Macintosh System 7","Apple Macintosh System 7"
"tandem-integrity","platform","Tandem Integrity","Tandem Computers Integrity series (MIPS-based)"
"tandem-nsk","platform","Tandem NonStop Kernel","Tandem Computers NonStop Kernel fault-tolerant OS"
"ibm-mvs","platform","IBM MVS","IBM Mainframe MVS (forthcoming in v2.6)"
"os400","platform","OS/400","IBM AS/400 OS/400 (forthcoming in v2.6)"
"windows-95","platform","Windows 95","Microsoft Windows 95 (forthcoming in v2.6)"
"sgi-irix","platform","Silicon Graphics IRIX","Silicon Graphics IRIX Unix (forthcoming in v2.6)"
"pricing","observation_type","Pricing","Product or service pricing information"
"product-spec","observation_type","Product Specification","Technical specification or product capability detail"
"competitive-position","observation_type","Competitive Position","Study-specific code: competitive-position"
"customer-segment","observation_category","Customer Segment","Target customer or market segment description"
"architecture","observation_category","Architecture","Technical architecture or design characteristic"
"future-roadmap","observation_category","Future Roadmap","Planned product capability or enhancement"
"analyst-assessment","methodology","Analyst Assessment","Analysis based on Aberdeen Group analyst evaluation and judgment"
"market-context","observation_category","Market Context","Broader market or industry context finding"
"actual-outcome","observation_type","Actual Outcome","Retrospective record of what actually happened to a company, product, or technology after the study date; used to assess prescience"
"expert-opinion","observation_type","Expert Opinion","Observation records an analyst judgment, interpretation, or recommendation that goes beyond raw data to offer evaluative conclusions"
"market-data","observation_type","Market Data","Quantitative or qualitative data point about market size, pricing, cost structures, or commercial dynamics derived from research"
"technology-assessment","observation_type","Technology Assessment","Empirical evaluation of a specific technology product or system based on hands-on testing, performance measurement, or documented behavior"
"viability-prediction","observation_type","Viability Prediction","Observation is a forward-looking prediction about future market conditions, technology adoption, or business outcomes made at time of study"
"document-review","methodology_code","Document Review","Assessment based on review of published documentation such as vendor support policies and threat databases"
