"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-001","2026-kastner-top-100-economic-calls-2a98a7","kastner-it-research-archive","","topic-insight","2026","Total ranked studies (top 100)","100","verified","ranked-allocation","§1","Top 27.8% of the 360 high-prescience tech-tagged studies"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-002","2026-kastner-top-100-economic-calls-2a98a7","kastner-it-research-archive","","topic-insight","2026","Universe size (high-prescience tech-tagged)","360","verified","ranked-allocation","§1","Subset of 466 high-prescience studies in the 15 headline themes"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-003","2026-kastner-top-100-economic-calls-2a98a7","","","topic-insight","2026","Allocation method","equal-within-theme","verified","ranked-allocation","§1","per_study_value = theme_net_attributed_value / count(studies in theme)"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-004","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","market-data","2026","Per-study value (Mobile / Smartphone)","$237.7 billion","high","ranked-allocation","§2","$2,852.5B theme net / 12 studies; ranks #1 in top-100"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-005","2026-kastner-top-100-economic-calls-2a98a7","","digital-consumer-technology","market-data","2026","Per-study value (Digital Consumer Tech)","$108.6 billion","high","ranked-allocation","§2","$1,520.2B theme net / 14 studies; ranks tier #2 in top-100"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-006","2026-kastner-top-100-economic-calls-2a98a7","","oltp-tpc","market-data","2026","Per-study value (OLTP / TPC)","$57.8 billion","high","ranked-allocation","§2","$924.6B theme net / 16 studies; ranks tier #3 in top-100"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-007","2026-kastner-top-100-economic-calls-2a98a7","","cloud-saas","market-data","2026","Per-study value (Cloud Computing & SaaS)","$47.4 billion","high","ranked-allocation","§2","$3,078.5B theme net / 65 studies; long-tail dominance"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-008","2026-kastner-top-100-economic-calls-2a98a7","","","topic-insight","2026","Top 100 total per-study value sum","$8,044.3 billion","high","ranked-allocation","§2","Sum across top 100 studies; bounded by theme net totals"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-009","2026-kastner-top-100-economic-calls-2a98a7","","","topic-insight","2026","Within-theme ties (limitation)","Yes; ties are by design under equal allocation","high","limitation","§6","Future refinement: score each study individually on lead/contrarian/specificity"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-010","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2002","Rank #1: Second-Generation PDAs: It's High Time for Wireless","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 1","Source study_id: 2002-second-generation-pdas-it-s-high-time-for-wireless-c6563f; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-011","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2002","Rank #2: WebEx: Taking Conferencing to the Business Communications Summit","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 2","Source study_id: 2002-webex--taking-conferencing-to-the-summit-05f195; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-012","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","2006","Rank #3: The Outlook on AMD's Fusion Plans","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 3","Source study_id: amd-fusion-outlook-newsfactor-garrett-5859d3; theme: Mobile / Smartphone Computing"
"2026-kastner-top-100-economic-calls-2a98a7-OBS-013","2026-kastner-top-100-economic-calls-2a98a7","","mobile-smartphone","viability-prediction","1998","Rank #4: Data Management: 1998 Practice Summary","$237.71 billion (per-study allocation)","high","ranked-allocation","§5 row 4","Source study_id: dbmspr~1-7c854e; theme: Mobile / Smartphone Computing"
