"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"oracle-interoffice","Oracle InterOffice","enterprise-groupware","Oracle Corporation","1.0 (initial release, code-named Pegasus)","active","obsolete","aberdeen-1995-oracle-interoffice","Oracle InterOffice was discontinued in the late 1990s as Oracle shifted strategy toward Oracle Collaboration Suite and later Oracle WebCenter. Never achieved significant market penetration against Exchange and Notes. | Successor: Oracle Collaboration Suite / Oracle WebCenter"
"oracle-office","Oracle Office","messaging-office-automation","Oracle Corporation","pre-InterOffice","active","obsolete","aberdeen-1995-oracle-interoffice","Earlier monolithic Oracle messaging/office product that Oracle InterOffice was designed to supersede. Discontinued. | Successor: Oracle InterOffice (1995), Oracle Collaboration Suite (2003)"
"webex-training-center","Oracle Document Management","document-management","Oracle Corporation","pre-InterOffice","active","obsolete","aberdeen-1995-oracle-interoffice","Standalone Oracle document management product deconstructed into Oracle InterOffice's modular DM component. Discontinued as a standalone product. | Successor: Oracle InterOffice DM module"
"webex-support-center","Oracle Workflow","workflow-automation","Oracle Corporation","pre-InterOffice","active","evolved","aberdeen-1995-oracle-interoffice","Oracle Workflow product evolved; Oracle still provides workflow capabilities in Oracle E-Business Suite and Oracle Cloud applications. | Successor: Oracle BPEL Process Manager / Oracle Cloud Workflow"
"oracle-context","Oracle ConText","full-text-search","Oracle Corporation","pre-InterOffice","active","evolved","aberdeen-1995-oracle-interoffice","Oracle's full-text search/retrieval technology evolved into Oracle Text (formerly Oracle interMedia Text), still available in Oracle Database as of 2026. | Successor: Oracle Text (Oracle Database)"
"web-conferencing","Oracle Database / Oracle System 7","relational-database","Oracle Corporation","Oracle 7","active","active","aberdeen-1995-oracle-interoffice","Oracle Database remains actively developed and deployed as of 2026 (Oracle 23c). Oracle System 7 was the version contemporaneous with this study; Oracle InterOffice used Oracle DB as its data store. | Successor: Oracle Database 23c"
"pl-sql","PL/SQL","database-language","Oracle Corporation","Oracle 7 PL/SQL","active","active","aberdeen-1995-oracle-interoffice","PL/SQL is Oracle's procedural extension to SQL, still actively used in Oracle Database development as of 2026. The study cites PL/SQL as a mechanism for direct server-side data access in InterOffice. | Successor: PL/SQL (Oracle Database 23c)"
"audio-conferencing","Oracle PowerObjects","rapid-application-development","Oracle Corporation","1.x","active","obsolete","aberdeen-1995-oracle-interoffice","Oracle PowerObjects RAD environment was discontinued circa 1998; replaced by Oracle Developer/Forms and JDeveloper. | Successor: Oracle JDeveloper / Oracle APEX"
"unix-servers","OLE Automation / OCX Controls","component-object-model","Microsoft Corporation","OLE 2.0 / OCX (pre-ActiveX)","active","evolved","aberdeen-1995-oracle-interoffice","OLE Automation and OCX evolved into ActiveX (renamed 1996), then into COM/DCOM and .NET COM Interop. OCX concept continues in modern Windows development as COM components. | Successor: ActiveX, COM, .NET"
"electronic-commerce","MAPI 1.0 (Messaging API)","messaging-api","Microsoft Corporation","1.0","active","active-niche","aberdeen-1995-oracle-interoffice","MAPI 1.0 was the standard Windows messaging API. MAPI remains present in modern Windows and Outlook as Extended MAPI, used primarily by legacy enterprise email integrations as of 2026. | Successor: Extended MAPI (Outlook)"
"tech-011","MAPI Service Provider Interface (SPI)","messaging-api","Microsoft Corporation","1.0","active","active-niche","aberdeen-1995-oracle-interoffice","The MAPI SPI allowed back-end messaging stores to expose capabilities to MAPI clients. Remains architecturally present in modern Outlook/Exchange integrations as of 2026. | Successor: Extended MAPI / Outlook Transport Provider"
"hp-3000","Open Document Management Access (ODMA)","document-management-api","ODMA Workgroup (AIIM)","1.0","active","obsolete","aberdeen-1995-oracle-interoffice","ODMA was a standard API for integrating desktop applications with document management systems. Largely abandoned by the mid-2000s as DM systems moved to web-based interfaces and SharePoint emerged. | Successor: Microsoft SharePoint / OpenText"
"microsoft-backoffice","Work Flow API (WFAPI)","workflow-api","WfMC (Workflow Management Coalition)","draft","active","obsolete","aberdeen-1995-oracle-interoffice","WfMC's Workflow API was an industry standard attempt at workflow interoperability. Superseded by BPEL4WS, BPMN 2.0, and modern workflow automation platforms. | Successor: BPMN 2.0, BPEL, Camunda, Airflow"
