"code","label","domain","description"
"strategy-classification","Strategy Classification","observation_type","Classification of a strategic approach or positioning."
"viability-prediction","Viability Prediction","observation_type","Analyst prediction about future viability or success."
"actual-outcome","Actual Outcome","observation_type","Verified historical outcome of a prediction or situation."
"technology-assessment","Technology Assessment","observation_type","Evaluation of a technology capability, quality, or status."
"benchmark-result","Benchmark Result","observation_type","Performance benchmark measurement."
"framework-factor","Framework Factor","observation_type","Factor within an analytical framework or model."
"market-data","Market Data","observation_type","Quantitative or qualitative market information."
"expert-opinion","Expert Opinion","observation_type","Analyst or expert judgment without formal data backing."
"OLTP","Online Transaction Processing","technology-category","High-volume real-time database transaction workloads."
"SMP","Symmetric Multiprocessing","technology-category","Multi-processor architecture with shared memory."
"DSS","Decision Support System","technology-category","Large-scale analytical/reporting database workloads."
