"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","collection","thread_tag","section"
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","mycin-stanford","mycin","primary-observation","1972","specificity-score","4","medium","ingest-extraction","industry-analysis","Kastner Archive / Stanford HPP 1972","[thread:THREAD-1-expert-systems] MYCIN rule-based medical diagnosis expert system developed at Stanford — ~600 production rules for antibiotic selection; never clinically deployed but establishes the expert system template | Expert system rule chaining is structural precursor to LLM chain-of-thought reasoning","ai-arc","THREAD-1-expert-systems",""
"obs-t1-001m","2026-kastner-enterprise-ai-arc","mycin-stanford","mycin","metric","1972","predictive-distance-years","50","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-1-expert-systems] Predictive distance from MYCIN (1972) to LLM mainstream (2022)","ai-arc","THREAD-1-expert-systems",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","dec-corporation","xcon","primary-observation","1980","specificity-score","4","medium","ingest-extraction","industry-analysis","Kastner Memoir / DEC Product Record 1980","[thread:THREAD-1-expert-systems] XCON (eXpert CONfigurer) deployed at DEC for VAX order configuration — grows from 250 to 2500 rules over eight years; replaces human configurers; cited in Kastner memoir as most commercially significant expert system of the 1980s | First large-scale commercial AI deployment in the archive; rule explosion foreshadows knowledge bottleneck","ai-arc","THREAD-1-expert-systems",""
"obs-t1-002m","2026-kastner-enterprise-ai-arc","dec-corporation","xcon","metric","1980","predictive-distance-years","42","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-1-expert-systems] Predictive distance from XCON (1980) to LLM mainstream (2022)","ai-arc","THREAD-1-expert-systems",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-expert-systems","primary-observation","1987","specificity-score","3","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1987","[thread:THREAD-1-expert-systems] IBM estimates 600+ commercial expert systems deployed across insurance, finance, and manufacturing by 1987; expert system shells (OPS5, ART, KEE) commoditizing; Aberdeen coverage notes 'knowledge acquisition bottleneck' as primary failure mode | Knowledge bottleneck mirrors modern RAG/grounding problem — LLMs solve this at scale","ai-arc","THREAD-1-expert-systems",""
"obs-t1-003m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-expert-systems","metric","1987","predictive-distance-years","35","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-1-expert-systems] Predictive distance from expert system peak (1987) to LLM mainstream (2022)","ai-arc","THREAD-1-expert-systems",""
"2026-kastner-enterprise-ai-arc.039","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-expert-systems","primary-observation","1995","specificity-score","2","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1995","[thread:THREAD-1-expert-systems] Expert system commercial wave collapses by mid-1990s — rule maintenance costs exceed value; Aberdeen notes 'AI winter' terminology entering analyst vocabulary; XCON decommissioned 1993; commercial AI retrenchment complete | AI winter endpoint sets context for 15-year gap before next serious AI product wave","ai-arc","THREAD-1-expert-systems",""
"obs-t1-004m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-expert-systems","metric","1995","predictive-distance-years","27","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-1-expert-systems] Predictive distance from AI winter (1995) to LLM mainstream (2022)","ai-arc","THREAD-1-expert-systems",""
"2026-kastner-enterprise-ai-arc.036","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-shoebox","primary-observation","1962","specificity-score","3","medium","ingest-extraction","industry-analysis","Kastner Archive / IBM Lab Record 1962","[thread:THREAD-2-nlp-speech] IBM Shoebox demonstrated at World's Fair — recognizes 16 spoken words and 9 digits; first commercial speech recognition demonstration; Aberdeen/Kastner anchor as earliest NLP-adjacent claim in archive | Primitive but directionally correct; recognizes discrete tokens — precursor to modern ASR","ai-arc","THREAD-2-nlp-speech",""
"obs-t2-001m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-shoebox","metric","1962","predictive-distance-years","60","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-2-nlp-speech] Predictive distance from IBM Shoebox (1962) to LLM mainstream (2022)","ai-arc","THREAD-2-nlp-speech",""
"2026-kastner-enterprise-ai-arc.037","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-viavoice","primary-observation","1996","specificity-score","4","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1996","[thread:THREAD-2-nlp-speech] IBM ViaVoice launches — continuous speech recognition for desktop; no training pause required; 22,000-word vocabulary; Aberdeen coverage notes 'first practical dictation product for enterprise'; consumer pricing democratizes speech-to-text | Continuous speech, large vocabulary — functionally equivalent to modern cloud ASR endpoints","ai-arc","THREAD-2-nlp-speech",""
"obs-t2-002m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-viavoice","metric","1996","predictive-distance-years","26","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-2-nlp-speech] Predictive distance from ViaVoice (1996) to LLM mainstream (2022)","ai-arc","THREAD-2-nlp-speech",""
"2026-kastner-enterprise-ai-arc.038","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-medspeak","primary-observation","1997","specificity-score","5","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 1997","[thread:THREAD-2-nlp-speech] IBM MedSpeak/Radiology — continuous speech recognition trained on radiology vocabulary; physician dictates directly into EMR; Aberdeen scores as highest-specificity speech claim in 1990s archive: named domain, named workflow, named integration target | Specificity 5: named feature (continuous speech-to-text), named domain (radiology), named integration (EMR) — functionally identical to modern clinical AI dictation tools","ai-arc","THREAD-2-nlp-speech",""
"obs-t2-003m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-medspeak","metric","1997","predictive-distance-years","25","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-2-nlp-speech] Predictive distance from IBM MedSpeak (1997) to LLM mainstream (2022)","ai-arc","THREAD-2-nlp-speech",""
"2026-kastner-enterprise-ai-arc.039","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","primary-observation","2011","specificity-score","4","medium","ingest-extraction","industry-analysis","Aberdeen Group Research 2011","[thread:THREAD-2-nlp-speech] IBM Watson wins Jeopardy! February 2011 — natural language question answering over unstructured knowledge base; Aberdeen notes 'first time NLP system beats world champions in open-domain QA'; DeepQA architecture cited; Watson productized for enterprise | Open-domain NLP QA — direct structural precursor to ChatGPT use case; 11 years early","ai-arc","THREAD-2-nlp-speech",""
"obs-t2-004m","2026-kastner-enterprise-ai-arc","ibm-corporation","ibm-watson-nlp","metric","2011","predictive-distance-years","11","medium","ingest-extraction","industry-analysis","Kastner Archive","[thread:THREAD-2-nlp-speech] Predictive distance from Watson Jeopardy (2011) to LLM mainstream (2022)","ai-arc","THREAD-2-nlp-speech",""
