"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"omnibox-network","OmniBox Interactive Broadcasting Network","platform","OmniBox International","1997-2000","pre-commercial","discontinued","omnibox97-53bcfe","End-to-end system: satellite broadcast + set-top boxes + transaction processing"
"omnibox-settop","OmniBox Digital Set-Top-Box","hardware","OmniBox Inc.","1997-2000","pre-commercial","discontinued","omnibox97-53bcfe","Includes magnetic stripe card reader, smart card reader; add-on CD-ROM/DVD/keyboard"
"dvc-compression","DVC Digital Compression Technology","hardware","VCOM (licensed to OmniBox)","1997-2000","pre-commercial","discontinued","omnibox97-53bcfe","10 digital channels per analog; superior to MPEG-2 claimed; side-by-side analog/digital broadcast"
"mpeg2","MPEG-2 Video Compression","protocol","ISO/IEC","1994-present","emerging","legacy","omnibox97-53bcfe","Industry standard competitor; OmniBox claimed superior performance vs MPEG-2"
"dvb","DVB (Digital Video Broadcasting)","protocol","DVB Project","1994-present","emerging","current","omnibox97-53bcfe","OmniBox MPEG II DVB-compliant PC boards"
"satellite-jukebox","Satellite JukeBox","application","OmniBox Inc.","1997-2000","pre-commercial","discontinued","omnibox97-53bcfe","Digital music album delivery and download service; OmniBox service mark"
"mailbox-shopping","MailBox Home Shopping Service","application","OmniBox Inc.","1997-2000","pre-commercial","discontinued","omnibox97-53bcfe","Interactive home shopping via media-rich catalogs and infomercials"
"videobox","VideoBox Pay-Per-View Service","application","OmniBox Inc.","1997-2000","pre-commercial","discontinued","omnibox97-53bcfe","Preview and download movies, broadcast events, concerts"
"inferno-os","Inferno Operating System","platform","Lucent Technologies","1996-2002","emerging","discontinued","omnibox97-53bcfe","Underlies OmniBox software in set-top boxes and PCs"
"asic","ASIC (Application Specific Integrated Circuits)","hardware","ADI (contracted)","1990s","mature","current","omnibox97-53bcfe","Encoder/decoder chips for OmniBox set-top boxes"
