"code_id","code_type","label","definition"
"strategy-classification","observation_type","Strategy Classification","Categorization of an entity's business strategy"
"viability-prediction","observation_type","Viability Prediction","Expert prediction of entity's long-term survival or market success"
"actual-outcome","observation_type","Actual Outcome","Verified historical outcome for an entity or prediction"
"technology-assessment","observation_type","Technology Assessment","Evaluation of a technology's maturity or fitness for purpose"
"benchmark-result","observation_type","Benchmark Result","Quantitative comparison against peers or industry standards"
"framework-factor","observation_type","Framework Factor","One component of a multi-factor analytical framework"
"market-data","observation_type","Market Data","Quantitative market statistic or size estimate"
"expert-opinion","observation_type","Expert Opinion","Qualitative professional judgment without quantitative backing"
"competitive-profiling","observation_type","Competitive Profiling","Detailed comparative assessment of a competing entity"
"industry-analysis","methodology","Industry Analysis","Systematic analysis of industry structure and dynamics"
"competitive-profiling","methodology","Competitive Profiling","Detailed comparison of competing entities on defined criteria"
"benchmarking","methodology","Benchmarking","Comparison against industry standards or peer performance"
"field-research","methodology","Field Research","Primary data collection via interviews or surveys (Aberdeen's 25 monthly user interviews)"
"document-review","methodology","Document Review","Analysis of existing documents and records including post-publication outcomes"
"expert-opinion","methodology","Expert Opinion","Qualitative professional judgment based on experience"
"high","confidence","High Confidence","Strong evidentiary basis; multiple corroborating sources"
"medium","confidence","Medium Confidence","Reasonable basis but limited corroboration"
"low","confidence","Low Confidence","Directional judgment with limited evidence"
"verified","confidence","Verified","Confirmed by subsequent events or independent sources"
